"Date","外貨準備","外貨準備:外貨","外貨準備:外貨:(a)証券","外貨準備:外貨:(a)証券うち:本邦発行体分","外貨準備:外貨:(b)預金","外貨準備:外貨:(b)預金:外国中央銀行及びBISへの預金","外貨準備:外貨:(b)預金:本邦金融機関への預金","外貨準備:外貨:(b)預金:本邦金融機関への預金:うち:海外拠点分","外貨準備:外貨:(b)預金:外国金融機関への預金","外貨準備:外貨:(b)預金:外国金融機関への預金:うち:本邦内拠点分","外貨準備:IMFリザーブポジション","外貨準備:SDR","外貨準備:金","外貨準備:その他外貨準備","外貨準備:その他外貨準備:(a)金融派生商品","外貨準備:その他外貨準備:(b)非銀行非居住者に対する貸付","外貨準備:その他外貨準備:(c)その他"
2000-04-01,100,95.73,74.55,NA,21.18,2.25,12.88,NA,6.05,6.05,1.59,0.72,1.97,NA,NA,NA,NA
2000-05-01,100,95.77,75.01,NA,20.75,1.87,12.79,NA,6.09,6.09,1.57,0.73,1.93,NA,NA,NA,NA
2000-06-01,100,95.68,75.81,NA,19.87,1.58,11.95,NA,6.34,6.34,1.57,0.72,2.02,NA,NA,NA,NA
2000-07-01,100,95.81,76.12,NA,19.69,1.54,11.88,NA,6.27,6.27,1.52,0.7,1.97,NA,NA,NA,NA
2000-08-01,100,95.91,76.95,NA,18.96,1.51,11.5,NA,5.95,5.95,1.41,0.71,1.97,NA,NA,NA,NA
2000-09-01,100,95.99,76.53,NA,19.46,1.86,11.54,NA,6.06,6.06,1.38,0.7,1.93,NA,NA,NA,NA
2000-10-01,100,96.12,77.04,NA,19.08,1.87,11.32,NA,5.89,5.89,1.35,0.67,1.86,NA,NA,NA,NA
2000-11-01,100,96.13,77.08,NA,19.05,2.29,11.04,NA,5.73,5.73,1.32,0.68,1.86,NA,NA,NA,NA
2000-12-01,100,96.01,77.3,NA,18.71,2.28,10.82,NA,5.61,5.61,1.45,0.67,1.86,NA,NA,NA,NA
2001-01-01,100,96.07,77.4,NA,18.67,2.22,10.78,NA,5.66,5.66,1.49,0.66,1.78,NA,NA,NA,NA
2001-02-01,100,96.08,77.63,NA,18.45,1.83,10.85,NA,5.77,5.77,1.44,0.68,1.8,NA,NA,NA,NA
2001-03-01,100,96.22,78.01,NA,18.21,1.43,10.89,NA,5.89,5.89,1.38,0.66,1.75,NA,NA,NA,NA
2001-04-01,100,96.22,78.13,NA,18.09,1.57,10.73,NA,5.79,5.79,1.35,0.65,1.78,NA,NA,NA,NA
2001-05-01,100,96.12,77.94,NA,18.18,1.47,10.75,NA,5.96,5.96,1.4,0.66,1.82,NA,NA,NA,NA
2001-06-01,100,96.12,78.52,NA,17.6,1.47,10.36,NA,5.76,5.76,1.4,0.65,1.84,NA,NA,NA,NA
2001-07-01,100,96.13,78.41,NA,17.72,1.46,10.35,NA,5.92,5.92,1.44,0.64,1.78,NA,NA,NA,NA
2001-08-01,100,96.08,78.13,NA,17.95,1.45,10.36,NA,6.14,6.14,1.45,0.66,1.8,NA,NA,NA,NA
2001-09-01,100,95.88,76.26,NA,19.62,2.28,10.72,NA,6.63,6.63,1.68,0.62,1.82,NA,NA,NA,NA
2001-10-01,100,96.14,78.97,NA,17.17,1.38,9.82,NA,5.97,5.97,1.58,0.59,1.69,NA,NA,NA,NA
2001-11-01,100,96.21,80.3,NA,15.91,1.37,9.04,NA,5.49,5.49,1.52,0.6,1.68,NA,NA,NA,NA
2001-12-01,100,96.46,80.33,NA,16.13,1.38,9.01,NA,5.73,5.73,1.26,0.59,1.69,NA,NA,NA,NA
2002-01-01,100,96.46,79.97,NA,16.49,1.38,9.03,NA,6.07,6.07,1.25,0.56,1.73,NA,NA,NA,NA
2002-02-01,100,96.1,80.32,NA,15.78,1.38,8.63,NA,5.78,5.78,1.52,0.57,1.81,NA,NA,NA,NA
2002-03-01,100,96.05,81.58,NA,14.47,1.45,7.85,NA,5.18,5.18,1.53,0.57,1.85,NA,NA,NA,NA
2002-04-01,100,96.17,81.26,NA,14.91,1.45,7.97,NA,5.49,5.49,1.4,0.57,1.86,NA,NA,NA,NA
2002-05-01,100,96.11,80.39,NA,15.72,2.13,7.9,NA,5.69,5.69,1.41,0.57,1.91,NA,NA,NA,NA
2002-06-01,100,96.11,81.44,NA,14.67,1.95,7.28,NA,5.44,5.44,1.59,0.55,1.76,NA,NA,NA,NA
2002-07-01,100,96.27,81.59,NA,14.68,1.93,7.31,NA,5.44,5.44,1.55,0.53,1.65,NA,NA,NA,NA
2002-08-01,100,96.25,81.51,NA,14.74,1.94,7.29,NA,5.52,5.52,1.52,0.53,1.69,NA,NA,NA,NA
2002-09-01,100,96.17,81.56,NA,14.61,1.89,7.29,NA,5.43,5.43,1.57,0.53,1.73,NA,NA,NA,NA
2002-10-01,100,96.23,81.52,NA,14.7,1.3,7.54,NA,5.87,5.87,1.56,0.53,1.69,NA,NA,NA,NA
2002-11-01,100,96.22,82.24,NA,13.98,1.27,7.19,NA,5.51,5.51,1.54,0.54,1.7,NA,NA,NA,NA
