"Date","合計","家計動向関連","家計動向関連-小売関連","家計動向関連-小売関連-商店街・一般小売店","家計動向関連-小売関連-百貨店","家計動向関連-小売関連-スーパー","家計動向関連-小売関連-コンビニエンスストア","家計動向関連-小売関連-衣料品専門店","家計動向関連-小売関連-家電量販店","家計動向関連-小売関連-乗用車・自動車備品販売店","家計動向関連-小売関連-その他小売店","家計動向関連-飲食関連","家計動向関連-サービス関連","家計動向関連-サービス関連-旅行・交通関連","家計動向関連-サービス関連-通信会社","家計動向関連-サービス関連-レジャー施設関連","家計動向関連-サービス関連-その他サービス","家計動向関連-住宅関連","企業動向関連-住宅関連","企業動向関連-製造業","企業動向関連-非製造業","雇用関連-非製造業"
2000-01-01,45.3,43.4,42.7,,,,,,,,,44,44.3,,,,,,45.8,,,58.9
2000-02-01,48.6,47,48.1,,,,,,,,,40.8,47.3,,,,,,49.1,,,60.7
2000-03-01,55.2,53.3,51.9,,,,,,,,,54.3,55.1,,,,,,57,,,66.7
2000-04-01,55.2,52.9,51.2,,,,,,,,,48.3,57,,,,,,59.4,,,65
2000-05-01,50.2,47.4,44.4,,,,,,,,,44.6,51.1,,,,,,57.4,,,56.4
2000-06-01,50.1,48.2,47.8,,,,,,,,,42.9,50.4,,,,,,51.7,,,62.5
2000-07-01,50.4,48.8,45.5,,,,,,,,,48.6,53.1,,,,,,52.3,,,60
2000-08-01,48.8,46.2,43.5,,,,,,,,,43.9,51.9,,,,,,52.6,,,62.5
2000-09-01,47.8,44.7,43.6,,,,,,,,,39.2,47.9,,,,,,53.5,,,59.4
2000-10-01,46.5,42.9,41.8,40.1,45.7,37,37.3,37.2,39.6,49.7,45.7,36.5,47.9,51.8,48.5,45.2,40.3,42,51.3,51.9,51,60.5
2000-11-01,45.3,42.6,41.1,36.2,42.4,38,38.4,39.9,48.6,46.4,46.5,40.8,46.9,49.3,52.1,44,39.6,42.4,49,48.6,48.8,56.4
2000-12-01,44.4,43.7,40.9,37.9,44.5,38.3,41.4,35.2,45.8,41.4,44.8,48.6,48.4,53.2,50,43.7,40.7,45.1,44.6,44.8,44.3,48.6
2001-01-01,41.5,41,40.5,35.1,43.6,44.9,33.8,32,45.9,51.4,36.5,42.1,41.7,43.4,47.1,36.5,40.3,41.9,39.5,36.6,41.3,48.6
2001-02-01,39.6,39.9,40.3,30.8,45.8,42.2,37.3,33,47.3,53.2,37.5,35.9,39.9,39.7,42.2,40,38.8,41.3,37.4,34.9,38.7,42
2001-03-01,40.3,42.2,41.2,36.3,43.2,36.7,38,35.6,64,47.1,41.7,45.5,43.4,44.3,48.4,41.7,39.3,42.7,34.6,31.5,37.2,39
2001-04-01,41.1,43.3,42,41.7,47,40.3,41,41.7,31.1,42.4,45.1,45.5,45.2,44.3,47.7,44.5,47,45.7,36.3,30.7,40.7,35.6
2001-05-01,42.3,44.6,44.4,45.4,49.4,46.9,42.2,40.1,35,41.8,44.8,39.4,46.3,45.9,41.7,47.6,50,46.3,37.1,32.9,40.3,36.9
2001-06-01,38.2,40.4,41.2,37.8,49.7,42.4,36.7,34.5,35,44.1,42.7,36.9,40.4,40,40.8,39.5,42.9,38.6,33.1,28.7,36.4,33.3
2001-07-01,34.8,36.2,37.1,30.3,43.7,40.2,39.1,31.9,40.5,33.7,39.7,32.4,36.9,38.6,34.7,33.5,39.3,31,33.4,30.6,34.8,28.8
2001-08-01,31.2,32.6,33.2,30.1,40.4,35.7,33.2,28.4,28.2,31.6,33.3,27.5,33.7,34,32.7,31.6,37.3,27.9,28.9,25.1,31.5,26.3
2001-09-01,28.4,29.5,31.4,24.7,45.4,33.7,29.6,30.1,26.1,28.1,31.2,23.9,27.8,22.9,27.5,35.2,32.5,26.4,26.7,26,26.8,24.7
2001-10-01,27.2,29,29.5,26,41.2,29.8,26.3,28.7,23.4,28.2,28.4,25.3,28.8,24.4,28.2,35.7,32.4,29,24.8,24.6,24.1,19.8
2001-11-01,29.6,31.8,32.7,28.7,47.8,31.3,29.1,28.8,32.9,28.9,32.2,29.2,31.8,31.1,29.7,35.3,31.6,26.7,27.2,27.4,26,19.3
2001-12-01,31.6,34.6,33.4,30.5,37.5,38.3,31.8,27.6,37.8,28.6,35.4,38.4,37.3,39,37.1,35.5,34.6,30.3,27.2,25.4,28.2,20.2
2002-01-01,31.9,34,33.6,29.5,38,35.4,33.4,25.4,36.1,38.3,32.3,34.3,34.9,34.6,36.6,37.3,30.5,33.7,29,28,29.3,23.5
2002-02-01,33.1,33.5,32.3,28.9,31.8,35.3,33.2,28.1,27.2,38.2,34.1,30.7,35.5,34.6,37.9,37.7,31.7,38.5,34,34.1,34.2,28.2
2002-03-01,43.9,45.1,44,43.4,46.1,44.9,45.5,39.9,42.4,45.6,42,44.2,47.5,46.3,49.6,50,44.8,45.2,42.6,42.3,43.4,38.4
2002-04-01,46.7,46.9,47.4,49,45,51.1,45.1,47.7,55.4,40.3,48,43.3,46.6,45.7,47.3,49,44.9,46.9,47.3,48.4,46.5,44.4
2002-05-01,46.2,45.6,46.5,44.1,42.6,54.6,45.9,42.5,58.9,44.8,43.5,40.2,44.5,41.8,47.1,50.9,38.7,48,48.4,48.9,47.7,46.1
2002-06-01,42.9,41.8,42.5,38.6,39.2,53.6,42.6,42.5,47.6,36.9,41.6,34.9,41.8,36.9,45.4,47.7,43.1,42,45.3,46.4,44.3,45.9
2002-07-01,42.4,40.9,40.8,38.5,36.8,47.4,37.7,40.8,44,42.3,40.6,35.1,42.7,42.4,42.5,41.3,46.2,40.7,45.6,47.3,43.8,46
2002-08-01,43.6,42.8,42.4,35.2,46.5,48,40.5,38.4,47.5,41.8,46.2,37.2,44.6,43.7,47.8,48,38.5,44.1,44.3,44.4,44,48.2
2002-09-01,42.4,41.2,41.5,38.2,45.7,48.5,36.9,37.9,39.6,41.4,40.3,38.8,41.1,40.7,45.3,42.8,34.3,42,44,45.6,42.1,47.4
2002-10-01,38.1,36.7,36.5,35.3,32.8,39.3,35.2,34.9,40.7,37.6,39.2,32.8,38.2,37.3,41.5,41.4,32.5,36,39.8,40.9,38,43.7
2002-11-01,36.7,35.4,35.6,33.8,33.8,39.5,29.7,37.5,38.9,36.9,36.8,31.8,35.6,35.7,40.6,32.3,33.5,37.4,39.6,39.8,38.8,39.2
2002-12-01,36.6,35.4,33.8,33.3,26.1,37.4,37.5,29.9,39.7,34.5,36.2,37.8,38,36.9,46.6,34.1,36.5,35.9,39.8,41.6,37.8,37.8
2003-01-01,35.5,34.9,33.9,27.7,37.9,35.2,31.2,29.9,36.5,38.2,38,31.5,37,35.5,46.6,34.9,32.9,38.8,35.6,36.8,34.3,38.9
2003-02-01,38.3,37.2,38.9,32.3,43.1,41.2,38.3,31.1,44.1,47.3,36.8,31.8,34.5,31.1,42.4,35,33.8,39,39.1,40.8,37.4,43.4
2003-03-01,41.3,40.6,39,35.9,40.3,39.6,35.8,35,40,50,36.2,41.5,42.3,38.6,50,45.4,39.9,45.2,40.9,41.8,40,46.5
2003-04-01,38.7,37.3,36.9,38.2,33.9,40.4,36.2,37.3,39.4,36.8,32.9,37.6,37.3,30.1,49.6,40.5,39.2,39.8,40.2,39.7,40.6,45.5
2003-05-01,38.4,37.4,37.7,36.1,41.3,38,36.7,36,43.6,36.5,35.4,37.3,35.6,29.1,41.3,40.4,42.2,42.6,39.5,39.6,39.2,42.4
2003-06-01,42.1,41,40.4,35.6,45.7,39,42.9,40.5,45,39.3,39.6,37,43.2,41.7,45.4,46.3,40.3,41.5,43.6,44.6,42.6,45.7
2003-07-01,44.9,43.4,40.8,39.6,48.2,38.7,32.5,40,41.8,42.5,41.6,43.8,48.6,50.3,51.1,48.3,40.5,44.4,47.2,48.5,45.7,50.6
2003-08-01,46.4,44.5,42.4,39.8,47.7,40,41.3,39.9,52.8,42.7,39.8,39.7,50.7,48.4,54,53.7,49.5,40.7,48.1,48.8,47.6,55.8
2003-09-01,48.6,46.2,46.3,41.7,45.9,44.2,47.6,44.7,56.9,50,48.4,41.5,46.3,46.3,50.4,49,37.3,49.1,51.2,50.5,51.9,60
2003-10-01,50.8,48.8,48.9,47.5,56.8,46.1,44.3,48.9,56.1,48.9,45.1,43.3,50.4,51.5,51.6,49.7,46.5,47.2,52.5,52.9,51.9,60.2
2003-11-01,48.3,45.8,42.8,42.8,41.7,38.9,43.5,39.1,52.8,42.4,47.1,45.6,51.6,51.2,55.8,51.7,47,48.5,50.8,52.2,49.6,59.7
2003-12-01,49.1,47.3,45.8,45.7,48.7,44.9,45.5,40.5,55,40.9,47.8,49,50.7,50.3,52.4,50.3,50,44.9,50,50.3,50,59.1
2004-01-01,48.6,46.9,46.6,41.3,53.7,46.9,44,43.8,51.2,48.8,46,43.7,48,43.2,54.3,55.7,43.8,47.8,49.2,50.1,48.7,59.1
2004-02-01,50.1,48.1,48.3,42.6,55,51.7,45,42,51.2,51.5,47.9,41.3,48.7,45.3,54.9,53.3,45.2,50.9,51.3,53.1,50.5,60.9
2004-03-01,53.7,51.4,49.6,50.2,50,51.5,50,45.1,44.9,52.9,47.5,51.2,54.6,53.2,59.8,58.1,47.6,54.2,55.4,57.7,54.1,65.1
2004-04-01,55.7,53.3,50.8,52.6,50,45.8,55.2,48.9,53.3,50.6,51.2,57,56.7,56.8,57.7,58.1,53.5,59,58.7,61.3,57,65.5
2004-05-01,52.8,50.5,47.3,46.8,43.5,47.2,49.4,43.8,54,49.4,48.8,54.1,54.8,54.8,55.9,57.5,49.5,57.3,55.1,54.6,55.8,63.6
2004-06-01,51.4,49,47.3,43,42.2,49.6,53.6,47.1,59.6,48.6,44.7,50.6,50.9,50.6,54.8,49.3,49,54.6,54,53.2,54.8,62.6
2004-07-01,54.3,52.4,53,43.6,56.4,57.2,66.7,46.2,67.4,53.5,44.6,48.1,52.4,54.1,55.5,49.6,46.9,50.9,55.9,53.7,58,64
2004-08-01,50.7,47.8,47.3,42.1,42.6,53.6,53,40.2,54.1,52.4,46.3,47.3,48.6,49.7,52.8,47.9,40.6,48.5,52.9,52.5,52.8,65.7
2004-09-01,47.3,44.6,44.1,42,44.2,47.2,41.4,38.3,50.6,50.6,39.8,41.9,45.9,44.5,51.7,47.8,40.6,46.5,49.7,49.9,49.7,61
2004-10-01,46.4,43.6,43.1,42,38.4,48.6,40.4,37.5,51.8,48.8,40.9,37,45.3,44,53.3,41.9,44.3,47.4,48.2,47.4,49,61.3
2004-11-01,45.3,43.1,42.5,42.2,37.5,43.7,42.1,35.3,45.6,47.9,46.9,40.8,45,41.7,51.2,47.1,44.9,42.8,46,44.7,46.6,58.4
