"Date","CI指数(H22=100)-先行指数","CI指数(H22=100)-一致指数","CI指数(H22=100)-遅行指数","CI指数(H22=100)-先行指数(参考)「外れ値」処理なし","CI指数(H22=100)-一致指数(参考)「外れ値」処理なし","CI指数(H22=100)-遅行指数(参考)「外れ値」処理なし","DI指数-先行指数","DI指数-一致指数","DI指数-遅行指数","DI累積指数-先行指数","DI累積指数-一致指数","DI累積指数-遅行指数"
1980-01-01,,,,,,,54.5,83.3,83.3,0,0,0
1980-02-01,,,,,,,54.5,88.9,94.4,4.5,38.9,44.4
1980-03-01,,,,,,,45.5,88.9,88.9,0,77.8,83.3
1980-04-01,,,,,,,40.9,94.4,77.8,-9.1,122.2,111.1
1980-05-01,,,,,,,36.4,27.8,55.6,-22.7,100,116.7
1980-06-01,,,,,,,45.5,33.3,83.3,-27.2,83.3,150
1980-07-01,,,,,,,18.2,0,66.7,-59,33.3,166.7
1980-08-01,,,,,,,9.1,0,55.6,-99.9,-16.7,172.3
1980-09-01,,,,,,,18.2,11.1,55.6,-131.7,-55.6,177.9
1980-10-01,,,,,,,36.4,11.1,66.7,-145.3,-94.5,194.6
1980-11-01,,,,,,,27.3,44.4,77.8,-168,-100.1,222.4
1980-12-01,,,,,,,63.6,33.3,33.3,-154.4,-116.8,205.7
1981-01-01,,,,,,,36.4,38.9,55.6,-168,-127.9,211.3
1981-02-01,,,,,,,54.5,44.4,50,-163.5,-133.5,211.3
1981-03-01,,,,,,,36.4,33.3,77.8,-177.1,-150.2,239.1
1981-04-01,,,,,,,59.1,38.9,44.4,-168,-161.3,233.5
1981-05-01,,,,,,,54.5,22.2,55.6,-163.5,-189.1,239.1
1981-06-01,,,,,,,72.7,55.6,33.3,-140.8,-183.5,222.4
1981-07-01,,,,,,,81.8,77.8,38.9,-109,-155.7,211.3
1981-08-01,,,,,,,81.8,100,33.3,-77.2,-105.7,194.6
1981-09-01,,,,,,,72.7,94.4,55.6,-54.5,-61.3,200.2
