"Date","東京市場　ユーロ・ドル　スポット　9時時点","東京市場　ユーロ・ドル　スポット　最高値","東京市場　ユーロ・ドル　スポット　最安値","東京市場　ユーロ・ドル　スポット　17時時点"
2000-01-04,1.0237,1.0263,1.0217,1.0241
2000-01-05,1.0296,1.0385,1.0285,1.0368
2000-01-06,1.032,1.0377,1.0312,1.0344
2000-01-07,1.032,1.0334,1.0284,1.0303
2000-01-11,1.0247,1.03,1.0247,1.0283
2000-01-12,1.0337,1.0363,1.0319,1.0359
2000-01-13,1.0308,1.0315,1.028,1.0289
2000-01-14,1.0264,1.0274,1.0228,1.0244
2000-01-17,1.0124,1.0143,1.0103,1.0119
2000-01-18,1.0124,1.0133,1.0095,1.0129
2000-01-19,1.0147,1.0163,1.0133,1.0137
2000-01-20,1.012,1.0134,1.0106,1.0126
2000-01-21,1.0167,1.0192,1.0157,1.0162
2000-01-24,1.003,1.0057,1.0015,1.0039
2000-01-25,1.0068,1.0095,1.0059,1.0085
2000-01-26,1.0015,1.0027,1.0007,1.001
2000-01-27,1.0001,1.0027,0.9995,1.0019
2000-01-28,0.9885,0.9892,0.9833,0.9846
2000-01-31,0.9792,0.9825,0.977,0.9789
2000-02-01,0.9713,0.9717,0.9668,0.9678
2000-02-02,0.972,0.9745,0.9694,0.9725
2000-02-03,0.9767,0.9773,0.9717,0.9731
2000-02-04,0.9899,0.9915,0.9873,0.9908
2000-02-07,0.9819,0.9832,0.9792,0.9824
2000-02-08,0.9812,0.9838,0.98,0.983
2000-02-09,0.9862,0.9933,0.985,0.9927
2000-02-10,0.9934,0.9961,0.9905,0.9917
2000-02-14,0.9874,0.9909,0.9853,0.9875
2000-02-15,0.9791,0.9808,0.9779,0.9792
2000-02-16,0.9817,0.9824,0.979,0.9793
2000-02-17,0.9862,0.9888,0.9851,0.9879
2000-02-18,0.9869,0.99,0.9865,0.9877
2000-02-21,0.9853,0.9884,0.9845,0.9879
2000-02-22,0.9891,0.9948,0.9875,0.9934
2000-02-23,1.0046,1.009,1.0033,1.0065
2000-02-24,1.0029,1.0041,1.0014,1.0021
2000-02-25,0.9914,0.9925,0.9867,0.9875
2000-02-28,0.9737,0.9746,0.939,0.9589
2000-02-29,0.9677,0.9727,0.9645,0.9662
2000-03-01,0.9626,0.972,0.9624,0.9668
2000-03-02,0.9697,0.9794,0.969,0.9772
2000-03-03,0.9634,0.968,0.96,0.9656
2000-03-06,0.958,0.9605,0.956,0.9597
2000-03-07,0.9581,0.9616,0.9572,0.9607
2000-03-08,0.9587,0.961,0.9572,0.96
2000-03-09,0.9638,0.9648,0.9613,0.9629
2000-03-10,0.9668,0.9687,0.9651,0.9669
2000-03-13,0.9628,0.9698,0.9616,0.9694
2000-03-14,0.9646,0.9652,0.9622,0.9639
2000-03-15,0.9679,0.9702,0.9662,0.9686
2000-03-16,0.9654,0.9705,0.9645,0.9695
2000-03-17,0.9714,0.9717,0.9682,0.9685
2000-03-21,0.9732,0.9739,0.9714,0.9723
2000-03-22,0.9587,0.9616,0.9575,0.9596
2000-03-23,0.961,0.9628,0.9603,0.9615
2000-03-24,0.9719,0.9765,0.9705,0.9718
