"産業:2017年08月","現金給与総額(円)","現金給与総額:前年比(%)","現金給与総額:きまって支給する給与(円)","現金給与総額:きまって支給する給与:前年比(%)","現金給与総額:きまって支給する給与:所定内給与(円)","現金給与総額:きまって支給する給与:所定内給与:前年比(%)","現金給与総額:きまって支給する給与:所定外給与(円)","現金給与総額:きまって支給する給与:所定外給与:前年比(%)","現金給与総額:特別に支払われた給与:所定外給与(円)","現金給与総額:特別に支払われた給与:所定外給与:前年比(%)"
"調査産業計",274490,0.9,259964,0.6,240952,0.4,19012,1.5,14526,6.1
"鉱業，採石業等",327123,5.2,283227,3.9,261067,3.8,22160,3.5,43896,15.1
"建設業",367442,2.2,325969,1.3,302178,0.6,23791,12.7,41473,9.6
"製造業",319595,0.1,302512,0.8,270423,0.5,32089,3.3,17083,-10.7
"電気・ガス業",430930,-5.7,425116,-4.6,379507,-3.5,45609,-13,5814,-43.2
"情報通信業",391422,-0.4,381500,0.9,351063,1.3,30437,-3.8,9922,-31.8
"運輸業，郵便業",302957,0.9,289545,0.9,248578,-0.4,40967,8.9,13412,0.7
"卸売業，小売業",240295,0.8,226832,0.7,215504,1,11328,-4,13463,1
"金融業，保険業",389224,7.1,372620,4.3,348526,3.9,24094,9.8,16604,158.9
"不動産・物品賃貸業",306930,-2.4,283866,-2.8,264347,-3.5,19519,6.6,23064,2.2
"学術研究等",397631,2.9,359766,-0.5,336580,-1.2,23186,9.1,37865,52.2
"飲食サービス業等",123639,-0.5,119822,0.1,112510,0.3,7312,-2.4,3817,-18.3
"生活関連サービス等",207133,4.6,194682,3.4,183954,3.8,10728,-1.9,12451,27.8
"教育，学習支援業",299278,2.2,294473,1.5,289433,1.6,5040,-3.1,4805,54.7
"医療，福祉",261428,1.5,250966,1,237188,1,13778,0,10462,16
"複合サービス事業",313717,-3,286629,-4.4,275346,-4.2,11283,-8.2,27088,12.8
"その他のサービス業",232413,-0.4,220799,-1,203704,-0.3,17095,-8.5,11614,12.5
"一般労働者:調査産業計",352685,0.7,332318,0.4,306347,0.4,25971,1.7,20367,6.1
"一般労働者:鉱業，採石業等",346042,4.5,299083,3,275192,3.1,23891,2,46959,14.8
"一般労働者:建設業",382124,2.1,338514,1.3,313529,0.5,24985,12.6,43610,9.5
"一般労働者:製造業",350631,-0.8,331363,-0.1,295381,-0.3,35982,2.3,19268,-11.7
"一般労働者:電気・ガス業",442798,-5.7,436811,-4.9,389446,-3.7,47365,-13.4,5987,-43.7
"一般労働者:情報通信業",403897,-0.7,393714,0.5,361992,1,31722,-4,10183,-33.3
"一般労働者:運輸業，郵便業",339249,-0.1,323472,-0.2,276589,-1.4,46883,8.4,15777,-1.1
"一般労働者:卸売業，小売業",356729,1.4,333536,1.2,315090,1.5,18446,-3.3,23193,3.4
"一般労働者:金融業，保険業",427867,7.9,409156,5,381806,4.5,27350,10.9,18711,167.1
"一般労働者:不動産・物品賃貸業",369960,-1,340416,-1.5,316091,-2.2,24325,9,29544,3.7
"一般労働者:学術研究等",429990,2.4,388030,-1.2,362379,-1.8,25651,8.4,41960,50.9
"一般労働者:飲食サービス業等",277213,-1.1,262889,0.5,240123,0.4,22766,0.5,14324,-22.4
"一般労働者:生活関連サービス等",301576,3.9,278868,2.4,261552,2.8,17316,-4.1,22708,29.1
"一般労働者:教育，学習支援業",390999,0.1,384241,-0.4,377555,-0.4,6686,-4.9,6758,53.4
"一般労働者:医療，福祉",323428,0.9,309207,0.4,290530,0.5,18677,-0.2,14221,13.6
"一般労働者:複合サービス事業",346228,-2,314586,-3.3,302051,-3.2,12535,-7.8,31642,15.2
"一般労働者:その他のサービス業",291345,0.7,274914,-0.2,251990,0.6,22924,-7.5,16431,14.4
"パートタイム労働者:調査産業計",96611,0.4,95371,0.3,92190,0.7,3181,-5.4,1240,-0.6
"パートタイム労働者:製造業",112852,1.4,110323,1.6,104166,1.5,6157,1.3,2529,-7.6
"パートタイム労働者:卸売業，小売業",94799,-0.5,93494,-0.1,91060,0.1,2434,-6.1,1305,-28.7
"パートタイム労働者:飲食サービス業等",78129,0.8,77426,0.6,74693,0.9,2733,-6.8,703,32.9
"パートタイム労働者:教育，学習支援業",78612,1.7,78506,1.8,77426,1.9,1080,-4.6,106,-50
"パートタイム労働者:医療，福祉",115740,1.1,114111,0.6,111845,0.9,2266,-10.3,1629,53.2
"パートタイム労働者:その他のサービス業",98594,2.4,97918,2.4,94061,2.4,3857,1.3,676,31
