"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,16.1,11.8,6.4,30.2,22.1,11.7,6.7,5,2.8,15,14.1,9.4,31.7,28.1,15.7,9.7,9.7,7.4,22.3,17.5,15,41.3,33.9,25.9,18.2,14,12.7
2004-09-01,19,14.2,6.8,34,26.3,12,8.7,5.9,3.2,18.4,13.8,8,38.6,28.9,17,11.9,9,5,23.4,18.1,12,38.2,34.7,20.3,20.3,14.6,10.2
2004-12-01,21.6,12.1,6,37.3,22.2,10,10.8,5.2,3.2,21.5,12.6,7.3,39.8,26.8,12.9,15.6,8,5.4,27.5,16.5,10.5,42,28.4,15.4,24.4,13.9,9.4
2005-03-01,14.3,11.2,5.9,27.9,21,10.9,4.9,4.4,2.6,14,11.6,7,29.2,23.4,11.5,9,7.8,5.5,21.3,15.2,11.1,39,31.4,20.3,17.6,11.8,9.1
2005-06-01,18.3,10.3,6.1,31.1,17.4,10,9.8,5.6,3.6,20.4,12.9,10.3,40.8,26.5,16.6,13.7,8.4,8.3,28.5,18.2,15.1,47,30.8,23.2,24.6,15.6,13.3
2005-09-01,22.2,16,8.4,35.7,22.2,12.5,13.3,11.8,5.7,22.2,19,12,38.8,31.4,18.7,16.8,14.9,9.8,26.5,22.3,14.6,41,31.6,21,23.4,20.3,13.2
2005-12-01,21.1,12.1,5.9,32.3,18.4,9.5,13.6,7.8,3.5,20.8,15.8,9.6,40.6,27.8,15.8,14.2,11.8,7.5,26,15.1,11.8,39.8,25.4,15.4,23,12.9,11
2006-03-01,19.1,11.5,6.9,30.3,17.8,9.9,11.5,7.2,4.9,21.8,15.1,11.4,38.8,23.6,16.5,16.1,12.3,9.7,28.5,19,13.5,38.4,28.8,20.1,26.3,17,12.1
2006-06-01,25.8,17.2,10.3,38.9,25.4,13,17.1,11.9,8.5,30.2,24.7,18.2,47.7,38.1,24.3,24.5,20.3,16.2,42.5,34.6,29.3,57.5,43.2,35,39.4,32.8,28.1
2006-09-01,28.6,19.9,12.3,40.5,26,15.5,20.6,15.8,10.1,33.3,27.7,19.5,47.8,41.1,28.4,28.5,23.2,16.6,45.1,35.7,27.4,58.1,45.2,33.5,42.4,33.7,26.1
2006-12-01,19.3,11.6,7.8,29.6,16.1,10,12.4,8.5,6.3,24.8,16.5,11.1,44.1,25.9,16.2,18.4,13.4,9.4,37,24.9,17.4,50.2,30.3,24.5,34.2,23.7,15.9
2007-03-01,15.4,11.3,7.4,23.9,15.7,9.2,9.6,8.3,6.2,19.1,15.8,12.3,33.4,23.3,15.6,14.3,13.3,11.3,30.4,23.7,17.6,40.4,30.7,22.9,28.3,22.2,16.5
2007-06-01,24.3,17.4,11.4,34,23.2,12.6,17.8,13.6,10.6,32.6,27.2,21.9,49.8,39.3,30,27.1,23.2,19.3,49.9,36.1,29.9,65.9,50.6,40.1,46.6,33.1,27.8
2007-09-01,25.9,17.8,10.9,35.8,23.7,13.2,19.3,13.9,9.3,31.6,25.4,19.8,48.3,35.7,25.7,26.1,22.1,17.8,47.4,36.6,28.2,64.8,45.6,32.6,43.7,34.7,27.3
2007-12-01,33.6,25.7,15.8,42.7,31.4,18.9,27.4,21.8,13.8,37.5,32.6,23.7,54.3,45.3,31.1,32,28.5,21.2,52.8,42.5,31.5,66.2,47.9,33.8,50,41.4,31
2008-03-01,34.5,28.4,17.8,43.5,34.8,21.3,28.5,24.1,15.5,38.1,36,24.1,51.7,50,33.6,33.6,31.4,21,53.7,46.7,35.5,57.8,53.6,37.4,52.8,45.2,35.1
2008-06-01,45.2,34.6,22.6,57.1,42.7,25.9,37.1,29.2,20.4,51.2,43.3,34.6,69.4,60.4,45.6,45.4,37.9,31.1,64.8,52.5,43.8,77,64.3,51.2,62.3,50.1,42.3
2008-09-01,44.3,31.2,20.7,56.1,36.2,21.4,36.4,27.9,20.2,51.1,41.2,27.7,65.2,52.1,30.6,46.6,37.6,26.7,63.5,47.3,36.5,76,58.3,41.5,60.9,45.1,35.4
2008-12-01,5.6,-0.9,1.9,5.9,-4.7,-0.5,5.4,1.6,3.5,15.9,3.6,4.5,23.5,0.6,1.6,13.4,4.6,5.4,32.7,14.9,10.5,40.7,17.6,10.9,31,14.3,10.4
