"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,25.3,19.9,13.9,25.2,19.8,12.1,25.5,19.9,15,19.4,16.3,15.5,23.4,17.2,17.1,18.1,16,15,-9.4,-5.2,0.2,-0.8,-3.8,1.7,-11.2,-5.5,-0.1
2004-09-01,21.8,12.9,7.3,22.2,11.9,4.9,21.6,13.6,8.7,18,12.4,6.6,22.1,13.5,3.7,16.7,12.1,7.5,-7.6,-3.9,-6.3,-1.8,-3.7,-7.7,-8.8,-3.9,-5.9
2004-12-01,4.3,1,4.4,0.3,-1,4.3,6.8,2.2,4.5,2.4,-4.2,2,0.1,-10.1,0.6,3.2,-2.4,2.4,-14.9,-14,-8,-13.6,-16.7,-5,-15.2,-13.5,-8.7
2005-03-01,-0.3,4.4,8.3,-6.1,4.4,6.9,3.2,4.4,9.1,-6.6,4.9,8.3,-12.4,7.8,10.2,-4.8,4,7.7,-21.1,-10.6,-6.8,-18.4,-11.1,-4.2,-21.7,-10.5,-7.4
2005-06-01,5.7,9.6,11.4,4.7,8.9,10.5,6.3,9.9,11.9,3.4,6.7,10.1,0.8,4.1,10.4,4.2,7.6,10,-13.2,-11.2,-7.4,-12.8,-10.1,-1.6,-13.3,-11.4,-8.6
2005-09-01,17.1,13.9,9.3,13.9,12.2,7.5,19,14.9,10.4,14.5,13,8.5,11.7,13.3,7.4,15.4,13,8.9,-4.8,-0.6,-4.3,0.9,0.1,-2.9,-6,-0.8,-4.6
2005-12-01,26.1,15.2,12.1,23.9,11.5,9.3,27.4,17.4,13.8,23.2,13.1,11.8,26.7,8,11.8,22,14.7,11.7,3.4,-2.8,-0.8,3.2,-2.3,3.5,3.4,-2.9,-1.7
2006-03-01,22.7,18.2,14.6,17.9,15,11.1,25.6,20.1,16.8,16.2,20,16.4,14.3,18,14.7,16.8,20.6,17,1.9,3.3,3.7,-2.1,4.9,6,2.8,3,3.2
2006-06-01,18.8,16.7,12.5,15.9,15.6,10.6,20.5,17.4,13.6,19.1,15.8,15.3,19,16.1,16,19.2,15.7,15.1,-3.1,-2.2,0.1,-6,-2.4,2.7,-2.5,-2.2,-0.5
2006-09-01,18.6,14.3,9,17.1,12,5.6,19.5,15.6,11,16.3,15.1,8.4,13.7,11.4,6.5,17.2,16.3,9,-3,-1.5,-6.6,-1.7,-0.8,-3,-3.3,-1.7,-7.4
2006-12-01,13,7.6,6.6,9,3.5,3.9,15.4,10.1,8.1,15,6.5,5.2,14.9,2.3,3.2,15,7.8,5.8,-2.5,-9.6,-5.6,-0.4,-13.1,-6.7,-2.9,-8.9,-5.4
2007-03-01,13.4,10.1,10.3,5.9,7.3,8.2,17.9,11.8,11.5,6.6,7.9,9.7,0.8,6.2,10.2,8.5,8.4,9.5,-9.8,-2.4,-2.3,-16.6,-5.8,-4.7,-8.4,-1.7,-1.8
2007-06-01,9.9,11.5,11.3,7.1,10.1,9,11.5,12.4,12.6,8.7,8.4,7.5,8.4,8.1,10.1,8.7,8.4,6.7,-16,-12.4,-7.8,-17.8,-9.4,-6.2,-15.6,-13.1,-8.2
2007-09-01,6.3,7.1,6.7,6.2,6.4,4.5,6.3,7.6,7.9,0.8,3.8,2.1,2.3,4.7,0.2,0.3,3.5,2.7,-21.5,-12.1,-13,-22.3,-11.7,-9.6,-21.4,-12.2,-13.7
2007-12-01,-4.1,-4.5,0.9,-0.6,-5.5,0.1,-6.2,-3.9,1.3,-9.1,-11,-5.1,-7.9,-11.7,-4.5,-9.5,-10.8,-5.3,-26.3,-25.7,-15.3,-25,-20.2,-6.4,-26.6,-26.8,-17.1
2008-03-01,-21.1,-9,1.2,-20.6,-7.5,2.1,-21.4,-10,0.6,-28.3,-16.9,-5.5,-29.3,-13.4,-2.5,-27.9,-18,-6.5,-42.7,-29.1,-19.6,-42.2,-21.8,-14.3,-42.8,-30.6,-20.7
2008-06-01,-27.3,-11.6,-3,-23.4,-7.6,0.1,-29.6,-13.9,-4.9,-37.4,-27,-14.5,-33.8,-23.3,-5.6,-38.5,-28.2,-17.3,-54.6,-43.4,-32.6,-55.5,-43.2,-29.7,-54.5,-43.4,-33.2
2008-09-01,-36.1,-23.5,-11.4,-30.9,-18.2,-7.6,-39.2,-26.6,-13.7,-47.5,-36.4,-22.5,-38.4,-30.9,-16.5,-50.3,-38.2,-24.4,-57.2,-45.4,-37.2,-53.9,-45.2,-35.9,-57.8,-45.5,-37.4
2008-12-01,-63.8,-43.7,-18.4,-67.8,-43.2,-13.4,-61.4,-44,-21.4,-65,-52.4,-27.9,-66.9,-53.4,-24.3,-64.4,-52.1,-29.1,-66.8,-57.2,-37.3,-68.9,-59.6,-35.4,-66.4,-56.7,-37.7
2009-03-01,-74.6,-41.2,-17.5,-78.8,-35.4,-9.5,-72.2,-44.6,-22.2,-76.4,-52.5,-28.2,-81.7,-46,-17.6,-74.7,-54.5,-31.6,-74.7,-53.4,-35.8,-82.4,-51.9,-27.9,-73.1,-53.7,-37.4
2009-06-01,-26.7,-9.3,6.5,-14.2,-0.8,14.2,-33.9,-14.1,2,-46.5,-22,-1.6,-35.3,-12.4,4.4,-50,-25,-3.5,-61.5,-36.3,-19.1,-63.2,-35,-16.4,-61.1,-36.5,-19.7
2009-09-01,0.7,2.9,4.9,16.8,10.6,7.9,-8.8,-1.5,3.1,-18.2,-3.9,1.5,-3.1,3.8,1.9,-23.1,-6.4,1.4,-42.3,-25.8,-16.5,-35.4,-13.1,-9.3,-43.7,-28.4,-18
2009-12-01,-8.8,-9.1,0.7,6.1,-5.3,2.8,-17.7,-11.4,-0.6,-24.4,-20,-7,-8.5,-17.5,-1.8,-29.5,-20.8,-8.7,-46,-35.4,-19.7,-38.7,-30.2,-14.2,-47.5,-36.5,-20.9
2010-03-01,-5.8,-1.3,5.6,1.6,4.1,8.1,-10.2,-4.5,4.2,-17.9,-8.9,-0.4,-11.5,-6.6,2.5,-20,-9.7,-1.3,-38.7,-21.2,-12.7,-30.9,-17.4,-9.1,-40.3,-22,-13.4
