"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,2.6,18.9,15.1,5.9,20,16.8,0.4,18.2,14.1,-1.6,13.6,17.4,6.7,17.2,24.2,-4.3,12.5,15.3,-21.6,-12.1,-0.4,-14.3,-10.7,4.9,-23.1,-12.5,-1.5
2004-09-01,20.4,12.5,12.3,26.1,13.9,10.5,16.6,11.6,13.4,9.9,12.6,6.7,14.9,15.5,6.7,8.3,11.7,6.7,-15.6,-0.7,-8.8,-10,4.7,-4.8,-16.8,-1.9,-9.6
2004-12-01,9.4,11.3,2.3,9.1,10.3,2.5,9.6,12,2.2,6,-0.8,3.1,6.6,-8,4.8,5.8,1.5,2.6,-10.6,-15,-7.5,-5.5,-18.2,-2.1,-11.7,-14.3,-8.6
2005-03-01,6.1,3.7,16.8,0.9,2.9,16.2,9.7,4.3,17.2,-4.5,2.3,13.9,-16.7,9.8,14.3,-0.5,-0.2,13.8,-22.5,-9.6,-5.6,-21.4,-5.9,-3.8,-22.8,-10.4,-6.1
2005-06-01,-0.2,18.5,16.2,-1.3,19.7,19,0.5,17.7,14.3,-3.5,14.7,16.7,-4.1,14.3,21,-3.3,14.8,15.2,-16.9,-10.1,-1.7,-17.4,-10.9,1.3,-16.8,-10,-2.4
2005-09-01,19.5,14.9,15.5,21.1,17.5,14.1,18.5,13.2,16.5,12.2,14.1,9.7,12.5,17.5,10.9,12.1,13.1,9.2,-12.8,-2.3,-5.8,-10.5,-2.1,-7.4,-13.3,-2.3,-5.4
2005-12-01,16.1,14.6,5.2,21.1,13.7,5.1,12.8,15.2,5.2,12,7.3,6.3,21,5.1,7,9,8,6.1,-3.1,-8.2,-4.1,0.5,-6,3.6,-3.8,-8.6,-5.7
2006-03-01,13.4,7,16.8,12.7,6,15,13.9,7.6,18,4.4,7.4,15.8,1.9,9.1,15.3,5.2,6.8,16,-11.5,-2.9,-1.9,-14.1,-0.3,1,-10.9,-3.4,-2.5
2006-06-01,0.1,22.3,15.5,0.4,22.9,17.2,-0.1,22,14.4,1.2,14.3,14.9,3.3,15.9,22.3,0.5,13.8,12.5,-14.3,-6.5,0.6,-13.4,-4.6,4.7,-14.5,-6.9,-0.3
2006-09-01,21.5,16.1,14.5,23.8,18.4,11.2,19.9,14.6,16.7,10.6,15.3,8.6,13.3,21.1,7.8,9.7,13.3,8.8,-9.2,-1.7,-9.4,-5.8,5.2,-4.8,-9.9,-3.2,-10.4
2006-12-01,14.4,15,2.6,17.5,11.4,1.9,12.2,17.4,3.2,13.2,5.4,1.5,19.7,3.8,4.5,11,6,0.6,-2.3,-13.7,-6.1,0.4,-11,-5.3,-2.9,-14.2,-6.2
2007-03-01,13.9,4.2,16.9,7.2,4.6,16.7,18.4,3.9,17.1,-0.8,3.3,12.2,-8,7.8,14.3,1.6,1.8,11.5,-17.6,-5.8,-3.6,-24.4,-6.1,-2.1,-16.1,-5.7,-4
2007-06-01,0.3,21.4,17.3,2.5,23.9,20.5,-1.2,19.7,15.1,-2.8,12.2,16.6,4,18.2,21.1,-5,10.3,15.1,-23.2,-12.3,-3.3,-23,-13,0.9,-23.2,-12.2,-4.2
2007-09-01,19,14.4,15.2,20.9,18.9,14.7,17.7,11.3,15.4,10.8,14.6,9.2,14.7,19.9,4.4,9.6,12.8,10.8,-21.2,-6.6,-10.6,-24.8,-3.4,-6.6,-20.5,-7.3,-11.4
2007-12-01,11.8,11,2,18.7,9,0.5,7,12.4,3,6.5,2.5,1.7,11.4,1,5.5,4.9,3,0.4,-13.3,-17.3,-12.2,-13.6,-20.6,-4.8,-13.3,-16.6,-13.7
2008-03-01,5,-0.7,14.8,1.4,0.1,15.3,7.5,-1.2,14.5,-5.3,0.1,9.1,-10.7,5.5,12.2,-3.5,-1.7,8.1,-26.7,-17.6,-11.1,-32.8,-10.8,-8,-25.5,-19,-11.8
2008-06-01,-8.1,16.9,12,-5,21.5,16.7,-10.3,13.7,8.7,-11.5,5.9,9,-5.1,10.9,14.8,-13.6,4.3,7.1,-28.5,-20,-11.5,-31.2,-15.7,-7.3,-27.9,-20.9,-12.4
2008-09-01,11.1,4.6,7.8,16.3,8.9,7.3,7.5,1.7,8.2,-4.3,2.9,1.2,1.8,4.2,-2,-6.3,2.5,2.2,-27.5,-20,-21.1,-25.6,-25.3,-23,-27.9,-18.9,-20.7
2008-12-01,-22,-11.6,-9,-31.5,-20.8,-9.7,-15.5,-5.3,-8.6,-22.2,-23.4,-12.4,-33.5,-36.9,-12.7,-18.5,-19,-12.3,-35.5,-35.6,-21.5,-46.1,-44.4,-21.8,-33.4,-33.7,-21.4
2009-03-01,-41.2,-24.3,-2.9,-60,-25.6,-0.9,-28.3,-23.4,-4.2,-43.3,-28,-8.9,-63.2,-25.5,-5.4,-36.9,-28.8,-10,-51.5,-34.5,-21.4,-71.3,-40.5,-23.1,-47.5,-33.3,-21
2009-06-01,-22.6,4.6,11,-14.3,10,19,-28.2,1,5.8,-36.2,-11.9,0.6,-28,-4.3,6.1,-38.9,-14.3,-1.1,-48.4,-31.5,-14.9,-52.3,-29.8,-10,-47.6,-31.9,-15.9
2009-09-01,8.7,7.2,6.9,24.3,16.5,8.5,-1.6,1,5.9,-10.2,-1,0.3,5.5,8.8,-0.1,-15.3,-4.2,0.4,-37.2,-22.4,-14,-36,-16.1,-11.6,-37.4,-23.6,-14.5
2009-12-01,3.1,0.9,-1.5,16.4,2.4,2.4,-5.8,-0.1,-4.1,-10.2,-12.6,-4.8,1.2,-16.4,-1.2,-14,-11.4,-5.9,-30.5,-27.2,-15.1,-26.9,-27.6,-10.6,-31.2,-27.2,-16
2010-03-01,2.1,-3.2,10.6,8.1,1.1,12.6,-2,-6,9.2,-11.3,-6.4,4.6,-8.8,-4.2,8.1,-12.2,-7.1,3.4,-30.8,-16.3,-9.9,-28.9,-12.2,-3.8,-31.2,-17.2,-11.2
2010-06-01,0,14.7,12.1,6.5,16.5,16.6,-4.3,13.4,9.1,-8.9,6.3,7.9,1.1,11.9,13.1,-12.1,4.5,6.3,-29.1,-15.3,-8.1,-16.4,-16.3,-4.1,-31.7,-15,-8.9
2010-09-01,16.4,3.2,6.4,19.9,5,4,14,1.9,7.9,5.1,2.6,-0.6,7,9.5,-3.5,4.5,0.3,0.3,-19.7,-12.2,-12.8,-11.2,-11.3,-7.6,-21.4,-12.4,-13.8
2010-12-01,0.3,2.6,-1.6,0,2.8,1.6,0.5,2.5,-3.7,-3.9,-3.1,-3.4,-1.2,-10.4,0.7,-4.8,-0.7,-4.8,-15.8,-21,-13.2,-12.3,-23.9,-9.1,-16.5,-20.4,-14.1
2011-03-01,5.4,-0.4,11.4,3.9,4.7,12.6,6.3,-3.9,10.5,-2.2,-3.5,8.7,-10,4.1,13.9,0.3,-6,7,-22.2,-13.9,-7.3,-28.6,-5.1,-5.1,-20.9,-15.7,-7.7
2011-06-01,-22.7,10.9,13.6,-23,13.1,20.3,-22.4,9.4,9.1,-27.8,-2.2,7.6,-22.7,1.3,14.2,-29.4,-3.4,5.4,-39.3,-20.5,-8.7,-36.6,-21.1,-5.5,-39.8,-20.4,-9.3
2011-09-01,17,11.4,9.4,20.8,17.4,9.2,14.4,7.3,9.6,4.5,8.2,2.2,6.8,19.8,2.8,3.8,4.5,2,-20.5,-8.8,-10.8,-15.3,-7.6,-14.6,-21.5,-9.1,-10
2011-12-01,5,5.8,-0.8,1.6,4.7,0.3,7.4,6.5,-1.6,0.2,-2.9,-0.4,1.4,-3.4,1.2,-0.1,-2.8,-0.9,-14.6,-19.3,-11,-16,-26.4,-9.2,-14.4,-17.9,-11.3
2012-03-01,4.3,-1.1,10.7,-0.8,3,11,7.8,-4,10.4,-4.8,-0.2,8.6,-13.3,0.7,10.6,-2.1,-0.5,7.9,-20.5,-11.3,-5.3,-23.7,-11.4,-2.4,-19.9,-11.3,-5.9
2012-06-01,-5.3,12.7,11.1,-7.1,14.6,15.1,-4.1,11.4,8.3,-6.6,9.2,12.5,-12.7,8,18.9,-4.6,9.6,10.4,-18.6,-11.1,-3.3,-24.2,-8.6,2.5,-17.4,-11.6,-4.5
2012-09-01,8.2,8.4,8.1,7.5,11.8,6.2,8.6,6.1,9.4,2.7,6,3.7,-1,8.9,2.9,4,5.1,3.9,-17.7,-6.2,-10.1,-16.8,-0.5,-7.5,-17.9,-7.3,-10.6
2012-12-01,-1.5,5.8,-0.9,-3.5,4.5,0.5,-0.1,6.7,-1.8,-5.5,-3.2,-4,-10,-4.9,-3.9,-4,-2.7,-4.1,-13.9,-17.2,-8.9,-14.2,-24.1,-6.7,-13.9,-15.7,-9.3
2013-03-01,4.6,1.3,12.5,-0.4,3.1,12.4,7.9,0.1,12.6,-6.5,0.5,10.4,-16.5,0.2,12.8,-3.2,0.6,9.6,-17.9,-3.6,0.3,-28.1,-3,5.2,-15.9,-3.8,-0.7
2013-06-01,3.2,19,13.8,5.4,20.6,17.1,1.7,17.9,11.5,0.9,14.3,13.8,4.4,14.8,17.3,-0.2,14.2,12.6,-10.9,1,2.8,-15.1,0,7.6,-10,1.3,1.8
