"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,-5.8,-4.1,-4.3,-5,-3.3,-6.3,-6.4,-4.6,-3,-10.8,-7,-6.6,-12,-6.2,-6.4,-10.4,-7.2,-6.7,-25.7,-16.9,-12.3,-24.6,-16.9,-12.6,-25.9,-16.9,-12.2
2004-09-01,-2.5,-2.1,-4.9,1,-2.2,-5.4,-4.8,-2.1,-4.5,-7.4,-6.1,-6.7,-7.7,-7.9,-6.6,-7.2,-5.6,-6.7,-17,-9.4,-10.6,-16.9,-12.8,-13.9,-17,-8.6,-9.9
2004-12-01,-2.1,-5,-4.9,0.4,-4.8,-6.7,-3.7,-5.1,-3.6,-5.7,-7.2,-4.1,-8.4,-6.4,-7.7,-4.9,-7.5,-2.9,-12.6,-10.5,-9.6,-15.7,-12.7,-11.9,-12,-10,-9.1
2005-03-01,-7,-4.9,-2.9,-5.2,-6,-3.4,-8.2,-4.1,-2.6,-9.4,-5.1,-5,-6.5,-4.2,-3.8,-10.4,-5.4,-5.4,-15.5,-10.7,-9.5,-14.2,-10.4,-10.4,-15.8,-10.7,-9.3
2005-06-01,-3.9,-3.4,-3,-4.6,-3.5,-5.9,-3.4,-3.4,-1.2,-8.5,-5.5,-4.5,-12.1,-4.6,-5.6,-7.3,-5.8,-4.1,-16.5,-13.1,-10.4,-18.2,-13.7,-11.5,-16.2,-12.9,-10.2
2005-09-01,-1.6,-1.9,-4.2,-1,-4.7,-5.7,-2,0,-3.3,-5.4,-3.4,-5.5,-6.8,-7,-9.2,-4.9,-2.3,-4.3,-13.7,-8.6,-10,-12.2,-8.7,-7.7,-14,-8.5,-10.5
2005-12-01,-2.2,-4.7,-4.1,-2.3,-5.6,-7.9,-2.1,-4,-1.6,-3.3,-5.1,-3.3,-5.3,-8.1,-8.8,-2.7,-4.1,-1.5,-10,-9.9,-6.8,-10.6,-7.4,-3.9,-9.9,-10.4,-7.4
2006-03-01,-3.2,-2.9,-2,-4.5,-7.1,-4.6,-2.2,0,-0.3,-3.8,-1,-1.8,-6.6,-7.3,-5.2,-2.8,1.1,-0.6,-10.5,-7,-5.8,-14.2,-9.6,-7.1,-9.7,-6.4,-5.6
2006-06-01,0.6,0.4,-0.5,-0.8,-0.5,-3.4,1.6,1,1.3,-0.6,-0.3,1,-4.8,-2.6,-2.2,0.8,0.4,2,-9.5,-4.7,-2.5,-12.4,-5.2,-4.2,-8.9,-4.5,-2.2
2006-09-01,4.3,2.4,-0.2,5,1.5,-2,3.8,3,1,0.5,3,-1,-1.7,-0.1,-2.7,1.3,4.1,-0.5,-5.2,-2.8,-3.3,-9.3,-2.6,-3.8,-4.4,-2.9,-3.2
