"Date","名目消費活動指数:季節調整済、2010年＝100","実質消費活動指数:季節調整済、2010年＝100","名目消費活動指数（旅行収支調整済）:季節調整済、2010年＝100","実質消費活動指数（旅行収支調整済）:季節調整済、2010年＝100","実質消費活動指数＋（プラス）:季節調整済、2010年＝100","実質耐久財指数:季節調整済、2010年＝100","実質非耐久財指数:季節調整済、2010年＝100","実質サービス指数:季節調整済、2010年＝100"
2003-01-01,97.9,95,98.6,95.7,,57.8,103.3,96.2
2003-02-01,98.6,95.6,99.2,96.3,,61.4,104.1,96.1
2003-03-01,98.5,95.8,99.1,96.3,,62,104.5,96.1
2003-04-01,97.3,94.2,97.5,94.4,,60.3,103.7,93.8
2003-05-01,98,95,98.2,95.1,,62.5,104.3,94.5
2003-06-01,97.9,95.1,98.1,95.3,,61.5,104.8,94.6
2003-07-01,98,95.4,98.3,95.7,,61.8,104.4,95.4
2003-08-01,98.2,95.5,98.6,95.8,,61.2,104.5,95.5
2003-09-01,99,96.3,99.5,96.9,,62.4,105.5,96.2
2003-10-01,99.5,97.2,100,97.7,,65.1,106.7,96.4
2003-11-01,98.4,96,99,96.6,,60.1,104.7,96.8
2003-12-01,98.9,96.5,99.6,97.1,,60.4,105.2,97.2
2004-01-01,98.5,95.8,99.1,96.4,,63,104.1,96.2
2004-02-01,98.9,96.1,99.5,96.7,,64.2,104.1,96.5
2004-03-01,98.3,95.9,98.9,96.5,,64.4,104.7,95.6
2004-04-01,98.7,96.1,99.3,96.7,,62.9,104.2,96.7
2004-05-01,98.5,96,99.2,96.7,,63,103.7,96.8
2004-06-01,99.2,96.3,99.9,97,,63.3,103.8,97.3
2004-07-01,100.4,97.6,101.1,98.2,,68,105.8,97.3
2004-08-01,99.1,96.6,99.8,97.3,,65.3,104.5,97
2004-09-01,99.1,96.5,99.9,97.3,,65.6,104.1,97.1
2004-10-01,99.7,96.7,100.4,97.4,,66.4,104,97.3
2004-11-01,99.4,96.4,100.2,97.1,,67.2,102.9,97.3
2004-12-01,99.4,96.6,100.1,97.4,,67.1,103.2,97.6
2005-01-01,99.6,97.1,100.4,97.9,,66,104,98.1
2005-02-01,99.2,96.9,99.9,97.6,,65.8,103.9,97.9
2005-03-01,99.5,97.3,100.1,98,,66.5,103.7,98.7
2005-04-01,100.1,97.5,100.7,98.2,,68.5,104.7,98
2005-05-01,99.6,97.3,100.2,97.9,,68.3,104.2,97.9
2005-06-01,99.7,97.6,100.3,98.2,,69.1,104.6,98.1
2005-07-01,99.8,97.6,100.4,98.2,,68.3,104.7,98.2
2005-08-01,99.5,97.6,100.1,98.2,,67.8,104.5,98.3
2005-09-01,99.7,97.6,100.4,98.3,,68.6,104.2,98.5
2005-10-01,100,97.9,100.6,98.5,,68.6,104.1,99.1
2005-11-01,99.7,97.9,100.3,98.5,,67.7,104.5,99
2005-12-01,100.3,98.2,100.8,98.7,,67.3,104.9,99.3
2006-01-01,100.6,98.3,100.9,98.6,,69.6,104.9,99.1
2006-02-01,100.2,98.1,100.7,98.5,,70,104,99.3
2006-03-01,100.2,98.3,100.6,98.7,,71.7,103.9,99.4
2006-04-01,100.1,98,100.5,98.3,,70.5,103.5,99.3
2006-05-01,100.6,98.3,101,98.7,,70.4,104.2,99.6
2006-06-01,100,97.7,100.4,98,,71,102.9,99.1
2006-07-01,99.9,97.7,100.3,98.1,,69.6,103.4,99.1
2006-08-01,100,97.6,100.4,97.9,,69.9,102.9,99.2
2006-09-01,99.7,97.3,100.1,97.7,,70.4,102.9,98.6
2006-10-01,100.2,98.2,100.5,98.6,,69.7,103,100.4
2006-11-01,100.2,98.1,100.6,98.5,,71,103.2,99.7
2006-12-01,100.1,97.8,100.4,98.1,,72.3,102.7,99.1
2007-01-01,100.4,98.2,100.8,98.5,,71.1,102.8,100.2
2007-02-01,100.4,98.5,100.8,98.9,,72.9,102.8,100.5
2007-03-01,99.7,98.1,100,98.5,,73.4,102.3,99.9
2007-04-01,100.5,98.5,100.9,98.9,,72.1,103.1,100.4
2007-05-01,101.1,99.1,101.4,99.4,,72.7,104.5,100.4
