"Date","総数:Total","農業,林業:Agriculture and forestry","非農林業:Non-agricultural industries","非農林業:建設業:Construction","非農林業:製造業:Manufacturing","非農林業:情報通信業:Information and communications","非農林業:運輸業,郵便業:Transport and postal activities","非農林業:卸売業,小売業:Wholesale and retail trade","非農林業:金融業,保険業:Finance and insurance","非農林業:不動産業,物品賃貸業:Real estate and goods rental and leasing","非農林業:学術研究,専門・技術サービス業:Scientific research, professional and technical services","非農林業:宿泊業,飲食サービス業:Accommodations, eating and drinking services","非農林業:生活関連サービス業,娯楽業:Living-related and personal services and amusement services","非農林業:教育,学習支援業:Education, learning support","非農林業:医療,福祉:Medical, health care and welfare","非農林業:複合サービス事業:Compound services","非農林業:サービス業(他に分類されないもの):Services, N.E.C.","非農林業:公務(他に分類されるものを除く):Government, except elsewhere classified"
2002-01-01,6267,224,6043,589,1210,153,331,1131,165,95,208,393,243,284,462,76,373,219
2002-02-01,6248,227,6021,611,1201,156,324,1075,164,96,208,395,246,273,471,76,374,218
2002-03-01,6297,242,6055,628,1238,156,323,1081,161,99,207,397,246,266,467,76,375,218
2002-04-01,6333,278,6055,624,1213,159,315,1121,167,95,200,394,235,267,473,73,383,212
2002-05-01,6356,307,6049,607,1194,157,322,1134,171,96,203,391,233,270,476,72,375,217
2002-06-01,6373,311,6062,594,1223,159,330,1115,170,108,202,390,242,280,469,77,368,211
2002-07-01,6374,294,6080,622,1199,160,328,1116,180,110,189,405,234,279,480,75,363,220
2002-08-01,6371,288,6083,620,1207,164,326,1085,176,103,199,400,240,287,477,77,372,224
2002-09-01,6353,286,6067,621,1183,171,333,1081,174,100,213,396,252,283,482,78,368,209
2002-10-01,6355,271,6084,642,1176,160,333,1116,172,102,203,402,244,281,480,73,372,211
2002-11-01,6346,252,6094,632,1189,148,334,1130,163,101,211,399,242,275,477,70,380,227
2002-12-01,6291,231,6060,623,1188,152,328,1110,163,102,209,388,253,275,468,87,383,220
2003-01-01,6203,224,5979,616,1185,153,336,1067,155,104,204,373,241,278,468,80,378,220
2003-02-01,6193,220,5972,624,1187,152,344,1062,158,107,200,381,236,267,488,71,357,217
2003-03-01,6266,238,6028,605,1173,155,357,1084,160,101,207,393,254,260,499,73,373,212
2003-04-01,6306,276,6030,591,1154,164,338,1093,161,93,207,391,248,267,506,78,386,228
2003-05-01,6360,307,6054,603,1171,173,311,1113,170,88,205,378,225,274,521,88,371,234
2003-06-01,6411,322,6088,591,1182,177,332,1119,158,92,202,377,250,284,509,85,383,227
2003-07-01,6381,294,6086,593,1192,177,333,1115,154,96,199,384,244,278,496,87,373,239
2003-08-01,6361,292,6068,592,1193,176,318,1102,167,95,199,391,238,274,500,89,376,234
2003-09-01,6346,298,6048,592,1176,167,336,1080,174,95,204,385,246,274,505,75,389,224
2003-10-01,6337,270,6067,616,1170,161,346,1092,163,97,202,395,229,268,513,70,393,229
2003-11-01,6323,232,6091,615,1173,152,338,1106,157,101,204,412,235,281,512,71,383,229
2003-12-01,6307,213,6094,606,1182,149,334,1112,157,100,204,398,236,289,509,79,385,227
2004-01-01,6221,207,6015,605,1156,158,333,1090,159,98,194,374,232,274,511,81,395,233
2004-02-01,6209,222,5987,595,1148,164,334,1064,162,97,198,372,234,264,529,78,390,230
2004-03-01,6279,247,6032,587,1137,171,332,1072,157,97,212,384,247,266,527,76,415,221
2004-04-01,6354,284,6070,581,1123,182,337,1083,152,93,216,391,248,278,514,85,434,236
2004-05-01,6389,302,6087,592,1139,182,311,1080,161,92,211,380,240,291,530,93,418,253
2004-06-01,6374,304,6070,583,1156,179,311,1085,159,92,202,371,245,292,540,91,410,234
2004-07-01,6373,299,6074,571,1178,178,309,1097,156,96,204,374,243,284,542,88,401,232
2004-08-01,6395,297,6098,576,1173,176,316,1105,163,100,212,387,240,273,527,86,404,231
2004-09-01,6369,288,6082,583,1158,174,336,1068,167,100,211,384,232,282,533,79,421,231
