"Date","製造工業(10000):製造工業生産能力･稼働率指数･SA","鉄鋼業(507.8):製造工業生産能力･稼働率指数･SA","非鉄金属工業(390):製造工業生産能力･稼働率指数･SA","非鉄金属地金(87.6):製造工業生産能力･稼働率指数･SA","非鉄金属加工品(302.4):製造工業生産能力･稼働率指数･SA","金属製品工業(280.6):製造工業生産能力･稼働率指数･SA","はん用･生産用･業務用機械工業(1052):製造工業生産能力･稼働率指数･SA","はん用機械工業(399.4):製造工業生産能力･稼働率指数･SA","生産用機械工業(589.9):製造工業生産能力･稼働率指数･SA","業務用機械工業(62.7):製造工業生産能力･稼働率指数･SA","電子部品・デバイス工業(1260.5):製造工業生産能力･稼働率指数･SA","電気機械工業(555.4):製造工業生産能力･稼働率指数･SA","情報通信機械工業(630.8):製造工業生産能力･稼働率指数･SA","特掲:家庭用電気製品(655.7):製造工業生産能力･稼働率指数･SA","輸送機械工業(2467.9):製造工業生産能力･稼働率指数･SA","特掲:乗用車・バス・トラック(2320.8):製造工業生産能力･稼働率指数･SA","窯業・土石製品工業(337.5):製造工業生産能力･稼働率指数･SA","化学工業(1235.8):製造工業生産能力･稼働率指数･SA","化学肥料(12.3):製造工業生産能力･稼働率指数･SA","ソーダ工業製品(27.6):製造工業生産能力･稼働率指数･SA","無機薬品・顔料(38.4):製造工業生産能力･稼働率指数･SA","高圧ガス(17.6):製造工業生産能力･稼働率指数･SA","石油系芳香族(145.9):製造工業生産能力･稼働率指数･SA","環式中間物(131.4):製造工業生産能力･稼働率指数･SA","有機薬品(216.1):製造工業生産能力･稼働率指数･SA","プラスチック(281.4):製造工業生産能力･稼働率指数･SA","合成ゴム(96.9):製造工業生産能力･稼働率指数･SA","写真感光材料(21.4):製造工業生産能力･稼働率指数･SA","石けん・合成洗剤(87.3):製造工業生産能力･稼働率指数･SA","塗料・印刷インキ(159.5):製造工業生産能力･稼働率指数･SA","特掲:石油化学製品(738.6):製造工業生産能力･稼働率指数･SA","石油・石炭製品工業(306.8):製造工業生産能力･稼働率指数･SA","パルプ・紙・紙加工品工業(304.7):製造工業生産能力･稼働率指数･SA","繊維工業(314):製造工業生産能力･稼働率指数･SA","その他工業(356.2):製造工業生産能力･稼働率指数･SA","製造工業(除.機械工業)(4017):製造工業生産能力･稼働率指数･SA","機械工業(5983):製造工業生産能力･稼働率指数･SA","電気機械工業(旧分類)(2446.7):製造工業生産能力･稼働率指数･SA"
2008-01-01,118.8,114.8,116.6,108.1,119.1,118.5,140.2,113.3,159.2,137.1,110.4,103.3,114,103,132.4,130.7,106.6,109.2,109.3,110.8,115.8,103,114,103.9,104.6,112,110.5,118.5,99.4,112.9,108.3,108.3,111.8,104.2,113.1,110.8,124.4,108.9
2008-02-01,119.4,116.8,116.1,106.9,118.6,116.3,144.4,115.6,163.1,139.1,111,105.9,116.2,107.9,132.6,131.1,109.8,108.6,106.6,110.2,118.8,104.3,109.2,100.5,102.4,114.6,112.8,125.6,94.6,114.7,108,107.8,111.7,104.7,115.3,110.7,125.7,111.4
2008-03-01,118.7,116.7,115.3,104.4,118.4,112.7,143.8,114.5,164.2,139.2,110.9,107.8,111.9,109,131.2,129.4,109.3,108.2,94.8,109.5,117.8,107.5,103.9,102.4,103.7,113.9,112.2,122.2,89.2,113.6,108,107.2,109.9,105.7,114.6,110.4,124.6,111
2008-04-01,117,116.8,109.7,95.2,113.5,113.4,142.3,114.1,162.6,137.3,104.9,107.4,111.9,105.9,128.6,126.9,107.3,106.4,109.6,110.1,117.9,105.9,98,100.2,104.1,110.4,110,115.2,97.3,111.7,105.7,109.8,109.1,104.4,113.9,109.7,121.9,107.8
2008-05-01,117.3,113.3,112.2,91.2,117.4,114.4,143.2,115.4,163.6,138.3,103.8,104.5,111.9,105.3,131.8,129.8,107.1,105.4,113.7,109.9,113.1,105.2,102.3,104.3,101.9,108.9,108.8,108.3,92.4,112.6,105,109.3,109.7,104.3,112.5,109.2,122.8,105.9
2008-06-01,114.2,111.9,110.1,95.7,114.1,114.2,133.8,110.7,151.4,133.4,102.8,104.2,107.8,104.5,125.5,124,107.6,104.2,113.3,109.7,107.9,101,102.8,92.8,100.1,107.4,125,102.9,94.3,112.5,103.2,105.2,109.3,103.1,111.6,108.1,118.1,104.2
2008-07-01,113.6,110.1,112.1,104.3,113.7,111.2,133,111.5,147.9,131.6,97.4,109.4,107.1,110,125.8,124.1,106.4,103.6,101.5,106.9,101.1,98.9,110.5,88.3,102.4,103.4,112,108.9,96.7,113.4,103.1,106.9,110.7,102.2,110.3,107.3,117.6,102.8
2008-08-01,109.2,108.2,106.1,97.7,108.8,113.9,124.3,106.3,136.5,127.7,96.5,111,104.4,107.4,117.8,115.8,105.5,101.9,110.9,105.2,107.1,98,109.4,91,99,102,100.4,95.4,103.4,109.9,100.7,104.6,108.6,101.7,108.3,105.3,112,101.4
2008-09-01,111.4,109.2,105.2,94,108.9,113.5,126.3,108.4,136.8,128.7,99.8,111.2,106.9,109.1,120.3,118.7,106.1,100.3,112.3,101.9,108.4,95.9,96.7,88.3,92.9,102.5,109.3,101.7,99.7,109.6,98.1,98.2,108.8,100.1,107.9,104.1,115.4,105.1
2008-10-01,108.6,105,104.3,98.7,106,110.7,117.9,104,126.3,122.1,100.7,107.7,107.5,108.1,116.9,115.9,106.4,96.6,107.2,96.2,106.5,95,96.7,81.3,88.8,98.1,101.7,102.5,98.4,105.8,93.3,102.4,102.9,100.7,107,103,112.3,103.8
2008-11-01,98.9,96.6,96.6,97.6,96.8,106.3,106.6,93.9,114.1,118.5,89.2,102.2,97.3,97.6,103.3,101.8,95.2,91.3,101.8,93.6,106.3,83.6,88.1,77.5,84.1,95.1,95.9,97.1,95.9,99.5,88.6,99.5,100.8,98.6,103.8,97,100,94.3
2008-12-01,88.8,80.3,88.9,99,86.2,104.1,96.9,84.9,102.4,117,72.9,92.7,82.1,80.9,92.7,91.1,81.4,86.6,82.4,91.9,97,71.7,86.4,75.3,82.1,86.7,89.6,95.2,94,91.5,85.1,99.9,93.5,94.6,93,89.6,88.2,79.1
2009-01-01,78.1,68.3,79.8,91,75.9,97.6,84.2,73,88.8,112.7,55,87.5,83.9,82.8,77.8,76.8,77.6,78.8,79.2,87.6,83,59.9,83.7,70.5,77.3,72.8,79.3,90.7,96.5,88.4,77.4,95.9,90,92.1,85.9,82.5,75,68.4
2009-02-01,69.3,62.2,70.6,87.3,66,88.6,71.2,60.5,74.8,100.1,56.1,79.2,77,76.7,59.4,58.4,69.8,76.8,70.5,84.7,74.2,55,86,67.2,78.1,67.2,67.4,79.9,106.6,80.8,75.6,100.5,85.3,88.2,72.3,77.8,63.9,66
2009-03-01,70.3,60.7,70.4,90.1,64.6,89.8,65.7,57.8,67.2,96.4,62.3,83.2,79.1,82.8,61.8,61.1,72,78.7,80.6,80.3,62.7,53.3,96.3,76.2,84.5,66.2,59.2,80.4,92.8,81.8,81.1,96.5,84.9,85.5,64.5,76.8,66.4,72.6
