"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2003-01-01,450847,317311,147238,40824,68464,23793,4020,4112,4218,3925,10224,1086,4238,661,410,47787,16746,6445,6065,2357,2484,855,1472,1623,1051,791,769,377,773,498,757,513,1110,1338,63525,50765,11587,751,2099,964,18693,15405,3039,94,,,,,,,
2003-02-01,394869,281263,112988,41864,66734,25924,4252,4522,4525,3026,8728,1130,2994,623,568,44736,14308,6748,6655,2227,2780,894,1217,1552,1181,740,745,282,667,511,591,617,746,1240,52822,42567,9300,562,1706,731,13006,10967,1838,96,,,,,,,
2003-03-01,456614,291767,108871,49676,64225,18437,8970,6682,6417,3862,12081,1657,4291,845,735,65203,20696,8747,10711,3538,3323,1368,1976,2562,1836,1006,941,344,1113,785,1072,522,984,2254,78460,63847,12650,1138,2584,1152,16196,13170,2745,150,,,,,,,
2003-04-01,354054,228518,87477,42706,46418,10703,7836,3259,4743,3936,12196,1483,2884,743,407,52526,17783,6829,7710,2403,3298,1133,1629,1863,1616,871,760,337,906,548,977,357,810,1154,55193,45911,8253,710,1625,733,14949,11959,2800,89,,,,,,,
2003-05-01,288562,169194,92072,11280,16983,11195,5342,2845,3685,4989,10988,928,4164,697,470,46446,14198,5762,7005,2202,3675,944,1356,1980,1222,782,785,483,846,654,729,252,722,1403,54635,46380,7499,442,1634,644,15185,12420,2462,65,,,,,,,
2003-06-01,352431,217210,109379,12915,28174,22778,4877,6897,4069,7080,10103,1207,4282,873,572,45227,13361,5775,5956,2500,3804,881,1341,1803,1106,787,698,341,718,614,695,1149,771,1435,69356,59716,8632,714,1863,896,17216,14467,2301,124,,,,,,,
2003-07-01,515692,358539,161273,28767,89972,31414,5767,5433,4631,6617,13070,1565,4159,857,487,57403,18779,7384,7366,2719,4895,1241,1080,2273,1603,997,720,503,831,557,855,1199,942,1580,74846,61258,11919,1175,2128,1017,21054,18013,2741,142,,,,,,,
2003-08-01,550380,403434,184536,46765,94087,33447,5822,4752,4883,4812,11878,1544,4603,785,490,55489,18932,7055,7002,3137,3595,1667,1089,2093,1209,800,794,383,738,505,706,1998,871,1580,69798,55789,12661,910,1961,975,17964,14944,2739,154,,,,,,,
2003-09-01,457574,309704,108468,47303,81083,21047,7115,7396,6636,5378,12074,1956,4041,976,894,55581,15299,7133,8312,3019,3929,1570,1530,2299,1626,1027,1108,609,964,671,848,633,884,2801,65303,53957,9797,1103,2200,1022,21843,18008,3532,142,,,,,,,
2003-10-01,527859,354353,127367,51007,97833,18525,12642,8036,7217,5546,12840,1757,4221,1186,673,71164,19289,8964,11663,4420,4678,1979,2387,2979,2167,1310,1326,767,1261,818,1194,698,1075,1716,80223,66512,11528,1493,3015,1432,17245,14266,2692,143,,,,,,,
