"Date","Exp.Total","Imp.Total"
1979-01-01,1.192541404,1.476341312
1979-02-01,1.547063623,1.474768659
1979-03-01,1.924706473,1.729013255
1979-04-01,1.674210856,1.754000207
1979-05-01,1.795127553,1.971518433
1979-06-01,1.90629409,1.853721295
1979-07-01,1.935032403,1.986026408
1979-08-01,1.796769263,2.158098399
1979-09-01,2.054736017,2.219514437
1979-10-01,2.005656869,2.321751345
1979-11-01,2.049252162,2.575911451
1979-12-01,2.650148146,2.724685796
1980-01-01,1.656296623,2.481133182
1980-02-01,2.303865,2.640281329
1980-03-01,2.654692011,2.923286343
1980-04-01,2.534739838,3.043068166
1980-05-01,2.493538171,2.947129058
1980-06-01,2.43469141,2.664607864
1980-07-01,2.49499891,2.708450217
1980-08-01,2.336083457,2.518178397
1980-09-01,2.552830654,2.361417575
1980-10-01,2.500763213,2.566351507
1980-11-01,2.34882428,2.398691353
1980-12-01,3.071148371,2.742730211
1981-01-01,1.924829698,2.436757507
1981-02-01,2.463851338,2.402823451
1981-03-01,2.902529112,2.686901614
1981-04-01,2.724555854,2.630290769
1981-05-01,2.748372242,2.747244157
1981-06-01,2.856838988,2.528896461
1981-07-01,3.083290251,2.740427146
1981-08-01,2.784280334,2.610328188
1981-09-01,3.028395082,2.496569032
1981-10-01,3.093467662,2.607635841
1981-11-01,2.692445296,2.730890764
1981-12-01,3.166128645,2.845380811
1982-01-01,2.283708502,2.691722394
1982-02-01,2.704303626,2.622626491
1982-03-01,3.19574214,2.992563146
1982-04-01,3.032135254,2.910765044
1982-05-01,2.750030458,2.642918484
1982-06-01,2.862327713,2.45384587
1982-07-01,3.060166486,2.734093071
1982-08-01,2.684480947,2.689212129
1982-09-01,3.009790237,2.597464133
1982-10-01,2.974059071,2.715398623
1982-11-01,2.740979399,2.857013201
1982-12-01,3.134777114,2.748679988
1983-01-01,2.134195274,2.543989927
1983-02-01,2.616327639,2.282630898
1983-03-01,3.06892052,2.586177655
1983-04-01,2.912037421,2.427965036
1983-05-01,2.738407179,2.31578217
1983-06-01,2.935410242,2.469544895
1983-07-01,3.029505276,2.345169751
1983-08-01,2.823995709,2.416612821
1983-09-01,3.129731941,2.544967322
1983-10-01,3.032322397,2.551913119
1983-11-01,2.907639368,2.627864029
1983-12-01,3.580775633,2.902166433
1984-01-01,2.384138917,2.580731324
1984-02-01,3.098050444,2.588307479
1984-03-01,3.55694125,2.830472023
1984-04-01,3.251541878,2.552002164
1984-05-01,3.256291685,2.83081782
1984-06-01,3.417768073,2.488283864
1984-07-01,3.535860561,2.775653157
1984-08-01,3.244304955,2.974007963
1984-09-01,3.559646133,2.466773743
1984-10-01,3.679814216,2.793024279
1984-11-01,3.410119351,2.655503704
1984-12-01,3.930816238,2.78554912
1985-01-01,2.794824956,2.670558409
1985-02-01,3.320609123,2.716385467
1985-03-01,3.78276125,2.952695224
1985-04-01,3.782513662,2.955293888
1985-05-01,3.628603287,2.779373225
1985-06-01,3.613987776,2.358461
1985-07-01,3.758852479,2.632696947
1985-08-01,3.297916779,2.467121341
1985-09-01,3.534090591,2.434282481
1985-10-01,3.56007133,2.585856829
1985-11-01,3.242038345,2.240486096
1985-12-01,3.639389893,2.2917243
1986-01-01,2.583556595,2.203498166
1986-02-01,2.913062394,2.154567575
1986-03-01,3.177078112,1.976378417
1986-04-01,3.173289742,1.948294612
1986-05-01,2.987945773,1.73493401
1986-06-01,2.957283036,1.715408102
1986-07-01,3.075530691,1.744959513
1986-08-01,2.60916817,1.450209369
1986-09-01,2.947637644,1.562874173
1986-10-01,2.95259946,1.754054801
1986-11-01,2.711950593,1.524772776
1986-12-01,3.200611677,1.780765556
1987-01-01,2.362312083,1.685555813
1987-02-01,2.634787086,1.544317465
1987-03-01,2.963278213,1.72858253
1987-04-01,2.863059167,1.758296866
1987-05-01,2.605678477,1.706526592
1987-06-01,2.68461197,1.742155936
1987-07-01,2.942171833,1.91514523
1987-08-01,2.655157654,1.878906619
1987-09-01,2.909789669,1.849573301
1987-10-01,2.98553982,2.004705252
1987-11-01,2.618788807,1.965227338
1987-12-01,3.090016604,1.957919731
1988-01-01,2.187613965,1.796164853
1988-02-01,2.602963105,1.927670914
1988-03-01,2.922510217,1.963965033
1988-04-01,2.825634638,1.971996284
1988-05-01,2.575860023,1.928914302
1988-06-01,2.761695856,2.016621821
1988-07-01,3.039379123,2.097989785
1988-08-01,2.77556697,2.113415332
1988-09-01,3.109455598,2.068934053
1988-10-01,3.094537899,2.088890851
1988-11-01,2.841871801,2.020461335
1988-12-01,3.202093963,2.011295296
1989-01-01,2.436919848,2.024444396
1989-02-01,2.875723988,1.946462225
1989-03-01,3.392125121,2.544696946
1989-04-01,3.067505097,2.104684284
1989-05-01,2.907578772,2.400801378
1989-06-01,3.246795217,2.491568117
1989-07-01,3.319946103,2.472457831
1989-08-01,3.061339138,2.589486276
1989-09-01,3.529216651,2.485380823
1989-10-01,3.286437743,2.618926165
1989-11-01,3.150898465,2.64652082
1989-12-01,3.548048483,2.65314332
1990-01-01,2.698920009,2.648894855
1990-02-01,3.189896457,2.468818441
1990-03-01,3.876411321,2.823489159
1990-04-01,3.444506468,2.887652595
1990-05-01,3.38006008,2.899544419
1990-06-01,3.624006217,2.604347613
1990-07-01,3.625666385,2.822566286
1990-08-01,3.339566914,2.830271046
1990-09-01,3.685930278,2.711024287
1990-10-01,3.572949481,3.142903612
1990-11-01,3.302264729,3.015229249
1990-12-01,3.716761335,3.000466076
1991-01-01,2.951341099,2.827441144
1991-02-01,3.270447564,2.608426257
1991-03-01,3.961490693,2.821264514
1991-04-01,3.315886709,2.449686339
1991-05-01,3.370218632,2.794954173
1991-06-01,3.538799084,2.529928197
1991-07-01,3.692837249,2.778148908
1991-08-01,3.397923866,2.616963288
1991-09-01,3.762273475,2.450567764
1991-10-01,3.74861978,2.799973754
1991-11-01,3.533219736,2.69782412
1991-12-01,3.816835087,2.524975064
1992-01-01,3.021436725,2.546349846
1992-02-01,3.529202937,2.24848956
1992-03-01,3.9693284,2.53255862
1992-04-01,3.627117687,2.679644816
1992-05-01,3.368799562,2.34776838
1992-06-01,3.599633739,2.456025147
1992-07-01,3.706451371,2.548003326
1992-08-01,3.318396801,2.429167268
1992-09-01,3.929782656,2.431192336
1992-10-01,3.760352345,2.447708909
1992-11-01,3.351736387,2.41944212
1992-12-01,3.830042834,2.441069032
1993-01-01,3.012474007,2.357365563
1993-02-01,3.461521719,2.157311473
1993-03-01,4.086569506,2.510348134
1993-04-01,3.528825964,2.349806884
1993-05-01,2.986793554,2.124148119
1993-06-01,3.288531601,2.22445675
1993-07-01,3.487536565,2.207051486
1993-08-01,2.93074207,2.147567439
1993-09-01,3.481724569,2.173181801
1993-10-01,3.31937747,2.161844659
1993-11-01,3.063491754,2.265071063
1993-12-01,3.554859946,2.148203868
1994-01-01,2.906853119,2.228338869
1994-02-01,3.224979018,2.041913309
1994-03-01,3.839527713,2.378333198
1994-04-01,3.438461872,2.28063227
1994-05-01,2.900692807,2.22635991
1994-06-01,3.516450964,2.334820673
1994-07-01,3.431702395,2.213499422
1994-08-01,3.117149441,2.512787936
1994-09-01,3.587752468,2.401458244
1994-10-01,3.427748093,2.512406524
1994-11-01,3.354563966,2.521965933
1994-12-01,3.751670841,2.451811055
1995-01-01,2.718873316,2.443974354
1995-02-01,3.494689171,2.373411995
1995-03-01,4.010591913,2.715686031
1995-04-01,3.467655124,2.538872628
1995-05-01,2.981503555,2.39451468
1995-06-01,3.413587882,2.424017789
1995-07-01,3.257376723,2.448986996
1995-08-01,3.194975552,2.659839489
1995-09-01,3.817619284,2.699229046
1995-10-01,3.560529834,3.0200785
1995-11-01,3.604797728,2.931170209
1995-12-01,4.008695039,2.898972164
1996-01-01,3.027419286,2.9644945
1996-02-01,3.624731544,2.979873662
1996-03-01,4.11054046,2.992906469
1996-04-01,3.644667863,3.329344233
1996-05-01,3.40594342,3.176845485
1996-06-01,3.662995373,2.931366058
1996-07-01,3.82602269,3.325555642
1996-08-01,3.454298031,3.106848451
1996-09-01,3.874539603,3.097268158
1996-10-01,3.962383286,3.500241833
1996-11-01,3.968525041,3.298353186
1996-12-01,4.169244609,3.290323429
1997-01-01,3.541320217,3.56580075
1997-02-01,3.990395939,3.30967603
1997-03-01,4.540249607,3.740037814
1997-04-01,4.42695849,3.619788314
1997-05-01,4.102664493,3.370685627
1997-06-01,4.119575002,3.160161585
1997-07-01,4.281189565,3.442090633
1997-08-01,3.936129775,3.217064124
1997-09-01,4.423516871,3.359985804
1997-10-01,4.645993381,3.540083612
1997-11-01,4.224847644,3.162284761
1997-12-01,4.705150875,3.468523519
1998-01-01,3.859903993,3.453338979
1998-02-01,4.09404844,2.816798387
1998-03-01,4.591211719,3.350661726
1998-04-01,4.346653587,3.124009126
1998-05-01,4.042302154,2.824213082
1998-06-01,4.346411506,3.132921136
1998-07-01,4.561303764,3.251096504
1998-08-01,4.01400988,3.123044847
1998-09-01,4.596562432,3.054992321
1998-10-01,4.381385777,3.015404845
1998-11-01,3.679159642,2.788936281
1998-12-01,4.132051044,2.718229949
1999-01-01,3.450558739,2.696581738
1999-02-01,3.593228534,2.662082497
1999-03-01,4.305720229,3.002238643
1999-04-01,4.023570532,2.986604714
1999-05-01,3.56109811,2.741014122
1999-06-01,4.086833418,2.924476179
1999-07-01,4.219760216,2.977241777
1999-08-01,3.736971556,3.039850528
1999-09-01,4.270431731,2.895532232
1999-10-01,4.13270851,2.963671008
1999-11-01,3.889473734,3.226216496
1999-12-01,4.277200932,3.152498129
2000-01-01,3.512721254,2.99219235
2000-02-01,4.136816214,2.957534578
2000-03-01,4.700061682,3.594783576
2000-04-01,4.377801174,3.236988257
2000-05-01,3.851459857,3.276435493
2000-06-01,4.487227124,3.294590458
2000-07-01,4.313204396,3.312744506
2000-08-01,4.204857926,3.598579064
2000-09-01,4.679180275,3.386040037
