"Date","Exp-Total(Trillion JPY)","Imp-Total(Trillion JPY)"
2007-09-01,7.099923,6.116304
2007-10-01,7.28195,6.307875
2007-11-01,7.213678,6.371464
2007-12-01,7.254151,6.612827
2008-01-01,7.270739,6.27699
2008-02-01,7.142135,6.400856
2008-03-01,7.197348,6.435708
2008-04-01,6.807389,6.35071
2008-05-01,7.059988,6.645733
2008-06-01,7.066025,7.063958
2008-07-01,7.271221,7.229497
2008-08-01,7.314412,7.431902
2008-09-01,7.223845,7.47405
2008-10-01,6.51449,6.747345
2008-11-01,5.455615,5.787771
2008-12-01,4.671645,4.997946
2009-01-01,3.891943,4.358281
2009-02-01,3.766994,3.818244
2009-03-01,3.964721,4.02483
2009-04-01,4.059596,3.990352
2009-05-01,4.267472,3.938962
2009-06-01,4.504617,4.106109
2009-07-01,4.533375,4.228994
2009-08-01,4.752521,4.322337
2009-09-01,4.939836,4.784946
2009-10-01,5.049697,4.524138
2009-11-01,5.193708,4.590144
2009-12-01,5.179276,4.777229
2010-01-01,5.626626,4.871947
2010-02-01,5.442048,4.944548
2010-03-01,5.511169,4.746181
2010-04-01,5.680762,4.972695
2010-05-01,5.691304,5.158843
2010-06-01,5.663782,5.285469
2010-07-01,5.634157,5.107069
2010-08-01,5.594939,5.071061
2010-09-01,5.538593,5.152642
2010-10-01,5.6205,5.07773
2010-11-01,5.662559,5.21707
2010-12-01,5.760855,5.198165
2011-01-01,5.777196,5.357464
2011-02-01,5.890587,5.43392
2011-03-01,5.274868,5.367031
2011-04-01,4.963813,5.653683
2011-05-01,5.165572,5.696297
2011-06-01,5.47462,5.699426
2011-07-01,5.604107,5.795778
2011-08-01,5.642367,5.966736
2011-09-01,5.671976,5.781915
2011-10-01,5.514364,5.898897
2011-11-01,5.360908,5.864644
2011-12-01,5.311911,5.800372
2012-01-01,5.305833,5.746936
2012-02-01,5.45061,5.659117
2012-03-01,5.473432,6.041995
2012-04-01,5.54035,5.958533
2012-05-01,5.470076,6.160005
2012-06-01,5.37298,5.850604
2012-07-01,5.327609,5.769006
2012-08-01,5.178942,5.668686
2012-09-01,5.240128,6.368926
2012-10-01,5.105321,5.579591
2012-11-01,5.059135,5.753956
2012-12-01,5.181921,5.927039
2013-01-01,5.389896,6.033972
2013-02-01,5.504589,6.587672
2013-03-01,5.656355,6.55565
2013-04-01,5.709366,6.549504
2013-05-01,5.944791,6.711076
2013-06-01,5.929867,6.69072
2013-07-01,5.854117,6.776893
2013-08-01,5.988646,6.88157
2013-09-01,5.917685,7.029331
2013-10-01,5.95954,7.093549
2013-11-01,5.983883,7.201878
2013-12-01,6.020663,7.219165
2014-01-01,5.751197,7.379375
2014-02-01,6.031819,7.168717
2014-03-01,5.83622,7.634587
2014-04-01,5.940212,6.947407
2014-05-01,5.84299,6.772649
2014-06-01,5.882366,6.930882
2014-07-01,6.035709,7.027754
2014-08-01,6.070745,7.005714
2014-09-01,6.291409,7.392546
2014-10-01,6.385907,7.176631
2014-11-01,6.396247,7.197986
2014-12-01,6.58095,7.146374
2015-01-01,6.705225,6.890902
2015-02-01,6.183084,6.905251
2015-03-01,6.44125,6.449989
2015-04-01,6.323033,6.552358
2015-05-01,6.176851,6.399937
2015-06-01,6.405776,6.690747
2015-07-01,6.399014,6.692529
2015-08-01,6.346411,6.695699
2015-09-01,6.24258,6.635519
2015-10-01,6.242233,6.43885
2015-11-01,6.207694,6.146208
2015-12-01,5.940275,5.898127
2016-01-01,5.969068,5.799051
2016-02-01,5.772001,5.591862
2016-03-01,5.784649,5.441382
2016-04-01,5.731501,5.269419
2016-05-01,5.6688,5.371038
2016-06-01,5.755581,5.380989
2016-07-01,5.665228,5.373917
2016-08-01,5.663842,5.343105
2016-09-01,5.704965,5.445485
2016-10-01,5.803669,5.447016
2016-11-01,6.035365,5.675789
2016-12-01,6.166253,5.858565
2017-01-01,6.221774,6.073065
2017-02-01,6.637001,6.003005
2017-03-01,6.369258,6.210259
2017-04-01,6.331448,6.181836
2017-05-01,6.357792,6.199495
2017-06-01,6.317665,6.217421
2017-07-01,6.502276,6.139215
2017-08-01,6.579934,6.212619
