"Date","金融収支","金融収支:直接投資","金融収支:直接投資:株式資本","金融収支:直接投資:収益の再投資","金融収支:直接投資:負債性資本","金融収支:証券投資","金融収支:証券投資:株式","金融収支:証券投資:投資ファンド持分","金融収支:証券投資:中長期債","金融収支:証券投資:短期債","金融収支:金融派生商品","金融収支:その他投資","金融収支:外貨準備"
1996-01-01,-3784,1751,1968,540,-757,4092,-11431,,15317,206,-317,-10422,1112
1996-02-01,5603,3869,2057,603,1209,13162,-8131,,12800,8493,672,-29782,17682
1996-03-01,10618,2218,1070,584,563,1828,-11242,,507,12562,865,1301,4406
1996-04-01,-884,4799,3975,405,419,-24643,-3415,,-10894,-10335,373,15760,2827
1996-05-01,8152,1892,866,460,567,4194,-3936,,11109,-2978,149,-833,2749
1996-06-01,8781,2450,2072,488,-110,-11119,-4265,,-3708,-3147,75,15402,1973
1996-07-01,6061,2409,1497,457,455,1349,-371,,2215,-494,358,733,1211
1996-08-01,3803,2320,2074,375,-129,10048,1859,,6678,1511,979,-11690,2147
1996-09-01,4872,1337,213,371,753,26179,-2048,,21674,6554,340,-24931,1947
1996-10-01,8965,1008,440,357,210,-788,576,,10141,-11506,966,6699,1081
1996-11-01,11635,1876,2347,325,-797,14733,374,,7152,7207,1935,-8191,1282
1996-12-01,8902,2718,2487,155,76,-1951,-1908,,-4319,4276,1617,5512,1007
1997-01-01,8938,2565,1672,197,696,9712,138,,5339,4235,796,-5314,1180
1997-02-01,8182,1060,1479,232,-651,5203,-4728,,-3060,12992,818,-1159,2258
1997-03-01,21138,1248,3473,325,-2551,24585,-5311,,21193,8703,1126,-6922,1101
1997-04-01,11232,3056,1996,430,630,-10325,1041,,15634,-27000,525,16271,1705
1997-05-01,9868,2224,1698,426,101,-320,-3773,,6565,-3113,-897,7266,1596
1997-06-01,6651,3183,2549,386,248,6399,-5512,,18039,-6128,527,-4633,1176
1997-07-01,11512,2477,2010,385,81,-13049,-6576,,-5185,-1288,-129,20784,1428
1997-08-01,5674,2097,2815,367,-1085,9690,-552,,8463,1779,117,-7730,1500
1997-09-01,22599,2760,1958,364,438,4279,941,,-22084,25422,1058,13093,1409
1997-10-01,12108,2017,1686,375,-44,10491,1900,,23369,-14778,2977,-5633,2256
1997-11-01,11150,1146,1017,401,-273,-26555,9362,,-25582,-10335,-385,35850,1093
1997-12-01,23412,2076,1329,383,364,-61513,-2452,,-51893,-7168,632,91259,-9042
1998-01-01,9166,2126,1918,413,-205,5016,-6402,,953,10465,-86,597,1513
1998-02-01,11055,2097,1779,470,-153,23470,-11091,,25317,9244,858,-17123,1752
1998-03-01,19563,4780,2523,476,1781,7358,-6983,,-10735,25076,1570,4625,1230
1998-04-01,12492,2201,2215,-311,297,17528,7565,,31362,-21399,-140,17390,-24487
1998-05-01,18394,2017,1853,-315,480,9277,6468,,7735,-4926,1817,3602,1681
1998-06-01,21137,1717,2282,-308,-256,-9028,9198,,-7165,-11062,853,28756,-1161
1998-07-01,3604,2536,2472,-315,378,12602,-3972,,24240,-7666,205,-13538,1799
1998-08-01,9585,1570,1869,-232,-67,7351,5868,,5910,-4427,372,-1561,1854
1998-09-01,8150,-3102,-3732,-230,861,26320,9303,,12775,4242,-1733,-14906,1571
1998-10-01,6864,1770,711,-248,1307,-22251,-9087,,11286,-24450,-3174,28944,1575
1998-11-01,17137,328,-13,-361,703,-17357,-1551,,3519,-19325,-1935,34047,2054
1998-12-01,-920,4101,2870,-370,1601,-2296,913,,1006,-4214,358,-3716,633
1999-01-01,15481,1347,1534,-576,389,1090,59,,2852,-1820,367,4362,8315
1999-02-01,17398,183,908,-589,-136,8063,-5588,,-1060,14711,1071,7650,432
1999-03-01,6065,235,-359,-594,1188,9792,-12966,,-269,23027,2494,-8580,2125
1999-04-01,3572,934,1237,363,-667,-23253,-11099,,4317,-16471,884,23611,1397
1999-05-01,8737,-889,853,356,-2098,-5298,-4067,,-3739,2508,805,12840,1279
1999-06-01,16470,1743,729,348,665,14007,-7890,,28843,-6945,-677,-26483,27880
1999-07-01,8161,1056,503,325,228,-24942,-10096,,-4527,-10319,-147,16757,15437
1999-08-01,16231,1535,540,300,695,5036,-4702,,13195,-3457,-461,8872,1249
1999-09-01,4883,772,1275,296,-799,36371,1082,,17085,18205,781,-44292,11250
1999-10-01,12650,874,491,327,57,-18089,-9324,,-8539,-226,-2699,31566,998
1999-11-01,15404,1049,1221,331,-503,3737,-10913,,2446,12205,-1048,10688,979
1999-12-01,5777,1766,537,325,904,23506,-5349,,25262,3594,1936,-38054,16623
2000-01-01,14554,1968,1388,293,287,-43318,-4507,,-27428,-11383,205,48779,6920
2000-02-01,19674,407,883,285,-761,-12,-7418,,4872,2534,498,16965,1817
2000-03-01,9590,-2116,-2522,277,129,16942,-216,,14279,2878,706,-18025,12083
2000-04-01,19759,7214,6103,1044,67,-16293,893,,-14486,-2700,-821,14899,14759
2000-05-01,22223,3535,3716,1045,-1226,22954,10358,,7918,4678,611,-7053,2176
2000-06-01,9186,4504,2556,1037,911,38310,6964,,22928,8418,327,-35248,1293
2000-07-01,10020,2396,1694,1015,-313,2418,6106,,13719,-17406,-283,4004,1484
2000-08-01,7986,2050,841,1018,191,-1496,-420,,-5524,4447,724,4805,1904
2000-09-01,7709,12078,7327,1023,3728,16492,6531,,10614,-652,-422,-24331,3892
2000-10-01,11207,669,30,976,-337,-2068,2476,,-9876,5332,396,10332,1879
2000-11-01,10701,1062,60,1013,-12,5178,-3123,,-10076,18377,2155,-1191,3497
2000-12-01,6148,3134,2828,1028,-722,-638,4936,,-17154,11580,994,1752,905
2001-01-01,10291,11526,10605,835,85,-9519,-9323,,-1976,1780,233,5856,2195
2001-02-01,8450,1176,362,797,17,-11137,-6836,,-2929,-1373,1610,16062,739
2001-03-01,9252,4918,3574,798,546,20171,4459,,13151,2560,2646,-18103,-380
2001-04-01,14558,3086,2108,231,747,-19973,-20620,,-4723,5370,973,28437,2035
2001-05-01,14061,1291,606,228,457,79,-11748,,8724,3102,1226,9063,2403
2001-06-01,10630,-996,-2024,227,802,6591,6747,,-2887,2731,-42,4197,880
2001-07-01,11772,2686,2413,252,21,8624,2037,,5414,1173,-1190,-599,2251
2001-08-01,-4933,2878,2146,240,492,14014,-1529,,10503,5040,-612,-23686,2473
2001-09-01,14415,3594,1293,238,2063,45928,11604,,22598,11726,-4649,-55836,25377
2001-10-01,-294,246,219,245,-218,7410,-6931,,16690,-2348,-1239,-16293,9581
2001-11-01,12214,2941,2136,237,567,-945,-5320,,13234,-8859,-67,8428,1857
2001-12-01,5213,3656,3768,247,-359,-4951,3632,,5730,-14313,-742,7297,-47
2002-01-01,20337,5022,5028,420,-426,-2278,-4915,,1962,675,1080,14616,1897
2002-02-01,11988,2704,3668,475,-1438,57991,44361,,10235,3395,1062,-52147,2378
2002-03-01,17190,-925,-964,502,-463,3587,2125,,-4819,6281,1613,12181,734
2002-04-01,9442,455,18780,261,-18586,-12560,-13170,,-7866,8476,-165,20666,1047
2002-05-01,13995,2442,1492,261,689,3140,-3803,,15944,-9001,-264,-4233,12909
2002-06-01,8012,2239,629,274,1337,-608,4638,,1341,-6587,590,-19038,24828
2002-07-01,10239,973,1167,269,-462,28594,15585,,20308,-7299,-2392,-24003,7067
2002-08-01,6805,1487,1671,278,-462,8034,14628,,-1639,-4956,-1135,-3335,1755
2002-09-01,7829,759,251,277,231,49356,32317,,19906,-2867,-1118,-42593,1425
2002-10-01,13008,1457,500,283,674,-7240,-18973,,12527,-794,-1,17585,1206
2002-11-01,7157,1504,497,277,730,12227,-3732,,14997,962,-534,-7488,1448
2002-12-01,7966,6213,4377,289,1547,-8757,-2101,,-3261,-3394,-1367,10600,1276
2003-01-01,11949,-1614,-2374,424,336,5785,-3027,,7147,1664,-294,-485,8558
2003-02-01,12196,1094,849,416,-171,16906,10294,,11643,-5031,-389,-12717,7303
2003-03-01,17828,4202,3691,400,111,51247,17398,,35928,-2078,-996,-49791,13166
2003-04-01,-4423,1298,882,427,-11,-26085,-27533,,8892,-7445,-613,19643,1334
2003-05-01,14428,1912,856,426,630,38625,-9192,,43247,4570,-730,-66868,41488
2003-06-01,3690,4114,1635,424,2055,30495,-12574,,43852,-783,162,-37900,6819
2003-07-01,15672,6414,5528,427,459,-31232,-22808,,-8573,148,140,18352,21998
2003-08-01,7649,1165,605,851,-291,-4878,-14312,,9372,62,201,9312,1849
2003-09-01,21782,2812,238,851,1722,56680,5069,,55376,-3765,2816,-85292,44766
2003-10-01,19130,2411,628,871,912,-40733,-25064,,-12018,-3652,-1673,31236,27889
2003-11-01,11059,2517,1112,874,531,14917,-5285,,22547,-2346,-2449,-21451,17524
2003-12-01,5900,3320,1731,865,724,3004,-7962,,12543,-1577,-2250,-20766,22592
2004-01-01,16514,1509,555,1028,-75,-48637,-18086,,-10503,-20048,-159,-8684,72486
2004-02-01,15389,3503,1929,1035,539,-19112,-4056,,-7467,-7590,-161,-5041,36200
2004-03-01,10338,550,-572,1037,85,61619,-6776,,63611,4783,1757,-101411,47823
2004-04-01,25108,4680,2351,1342,987,-56563,-16588,,-20538,-19438,-798,75580,2209
2004-05-01,16495,2195,1221,1342,-368,11113,5403,,-3078,8789,586,247,2354
2004-06-01,4702,1576,-945,1342,1179,35910,-5437,,49498,-8151,608,-34179,787
2004-07-01,14795,3078,554,1341,1183,-29163,-5935,,1290,-24519,-857,40243,1495
2004-08-01,22710,3587,1557,1345,685,918,2857,,-5555,3616,-695,15788,3113
2004-09-01,10674,3946,3578,1342,-974,63974,15201,,40535,8237,-473,-57892,1120
2004-10-01,8067,1886,27,1317,542,-45225,-20959,,-21933,-2333,-1483,51799,1090
2004-11-01,17276,4500,1985,1335,1181,21994,-7533,,30566,-1039,-662,-11541,2985
2004-12-01,-1141,4779,2833,1297,649,-20229,-9333,,-12951,2054,-252,13548,1013
2005-01-01,10590,2969,1057,1360,552,-30162,-9355,,-13082,-7725,45,35773,1966
2005-02-01,21570,3153,1931,1342,-120,-6550,-6767,,-2764,2981,-513,22583,2897
2005-03-01,18783,1470,-669,1339,800,55601,6816,,33749,15036,5,-39047,755
2005-04-01,8816,3899,2129,1438,331,-43379,-22983,,-14099,-6297,-1523,48197,1622
2005-05-01,11424,2564,1415,1438,-289,10165,1493,,8247,425,-520,-4179,3395
2005-06-01,12334,3400,1903,1440,57,10189,603,,6945,2641,-1865,-421,1031
2005-07-01,19908,2974,1149,1450,375,4814,-17953,,26678,-3912,-978,11715,1382
2005-08-01,8925,5888,4240,1447,202,4194,-9940,,15538,-1404,-811,-4048,3702
2005-09-01,12050,3895,2869,1450,-423,76655,15117,,52165,9374,2544,-72730,1686
2005-10-01,10232,6008,4988,1456,-436,-47441,-51368,,3677,251,883,48591,2192
2005-11-01,13710,5232,3877,1460,-105,-43157,-22178,,-5318,-15661,3699,44188,3749
2005-12-01,15103,10252,3375,1465,5412,19772,-6875,,23816,2831,7058,-22166,186
2006-01-01,17019,2806,1860,1210,-264,-45629,-22806,,-16396,-6428,816,56736,2290
2006-02-01,17938,-2121,-4057,1225,711,16154,594,,13729,1831,142,-300,4064
2006-03-01,15788,4735,2656,1227,852,47391,19299,,29376,-1284,-445,-38150,2256
2006-04-01,4333,19503,18188,1893,-579,-78581,-46205,,-26200,-6176,558,60547,2308
2006-05-01,22546,4992,2636,1893,463,-30738,14998,,-19943,-25793,-1133,45149,4276
2006-06-01,5302,7364,4375,1890,1099,-24873,10137,,-20816,-14194,-1504,21349,2966
2006-07-01,16198,1825,225,1879,-279,16992,-9774,,26045,722,-1233,-4435,3049
2006-08-01,9627,3029,778,1875,375,12597,6509,,12080,-5992,251,-10404,4154
2006-09-01,17837,4797,1687,1875,1235,91862,37259,,41293,13310,1082,-81862,1958
2006-10-01,13864,9449,7267,1881,301,-88475,-53389,,-40204,5118,1024,88628,3239
