Title,URL
貸借取引銘柄別融資・貸株残高一覧表(出所:日本証券金融株式会社),http://olive.am-consulting.co.jp/am-consulting.co.jp-StockBalance.html
店頭外国為替証拠金取引の状況時系列推移,http://olive.am-consulting.co.jp/am-consulting.co.jp-OTCRetailFXMarginTrading.html
日本の外貨準備等状況,http://olive.am-consulting.co.jp/am-consulting.co.jp-internationalReservesOfJapan.html
年金積立金管理運用独立行政法人保有全銘柄,http://olive.am-consulting.co.jp/am-consulting.co.jp-PortfolioGPIF.html
対外及び対内証券売買契約等の状況,http://olive.am-consulting.co.jp/am-consulting.co.jp-internationalTransactionsInSecurities.html
世界各国の非金融部門債務残高対国内総生産比,http://olive.am-consulting.co.jp/am-consulting.co.jp-CreditToTheNonfinancialSector.html
日本の消費活動指数,http://olive.am-consulting.co.jp/am-consulting.co.jp-ConsumptionActivityIndex.html
日本の国内総生産,http://olive.am-consulting.co.jp/am-consulting.co.jp-GDPofJapan.html
日本の国際収支,http://olive.am-consulting.co.jp/am-consulting.co.jp-InternationalBalanceofPayments.html
Quantitative analysis of Bitcoin/ビットコインの計量分析,http://olive.am-consulting.co.jp/am-consulting.co.jp-QuantitativeAnalysisForBitcoin.html
内閣支持率,http://olive.am-consulting.co.jp/am-consulting.co.jp-cabinetApprovalRating.html
