西暦,元号,年間平均給与所得者数(人),平均給与額(千円/人),平均税額(千円/人)
1972/1/1,昭和47年分,31376162,1071,47.3
1973/1/1,昭和48年分,32605886,1321.8,62.7
1974/1/1,昭和49年分,34116290,1665.2,67.9
1975/1/1,昭和50年分,34184707,1868.3,66.6
1976/1/1,昭和51年分,35066334,2098.2,86.2
1977/1/1,昭和52年分,35108261,2263,91
1978/1/1,昭和53年分,36636649,2397,105
1979/1/1,昭和54年分,37035080,2549,123
1980/1/1,昭和55年分,37645456,2689,139
1981/1/1,昭和56年分,37964868,2803,152
1982/1/1,昭和57年分,38533939,2891,165
1983/1/1,昭和58年分,39471008,2970,172
1984/1/1,昭和59年分,39949872,3068,174
1985/1/1,昭和60年分,42030665,3163,187
1986/1/1,昭和61年分,42175469,3277,196
1987/1/1,昭和62年分,42647195,3359,191
1988/1/1,昭和63年分,43638109,3439,189
1989/1/1,平成元年分,45204049,3596,193
1990/1/1,平成2年分,46706486,3761,216
1991/1/1,平成3年分,48335068,3941,234
1992/1/1,平成4年分,49489233,4026,247
1993/1/1,平成5年分,50434130,4029,246
1994/1/1,平成6年分,50823093,4078,212
1995/1/1,平成7年分,51889252,4107,203
1996/1/1,平成8年分,52496069,4118,204
1997/1/1,平成9年分,52746238,4183,230
1998/1/1,平成10年分,53251243,4185,189
1999/1/1,平成11年分,53938313,4032,178
2000/1/1,平成12年分,53024028,4082,182
2001/1/1,平成13年分,53672371,4001,177
2002/1/1,平成14年分,53484647,3887,169
2003/1/1,平成15年分,54276073,3753,158
2004/1/1,平成16年分,53575626,3766,166
2005/1/1,平成17年分,54334049,3710,166
2006/1/1,平成18年分,54506257,3670,182
2007/1/1,平成19年分,54816565,3672,164
2008/1/1,平成20年分,55124416,3652,157
2009/1/1,平成21年分,54967373,3502,138
2010/1/1,平成22年分,54791574,3547,137
2011/1/1,平成23年分,54647091,3583,148
2012/1/1,平成24年分,54266775,3521,144
2013/1/1,平成25年分,55735739,3595,156
2014/1/1,平成26年分,56188949,3614,158
2015/1/1,平成27年分,56689006,3612,159
