都道府県,男:17歳:肥満傾向児出現率(%),女:17歳:肥満傾向児出現率(%)
全国,10.64,7.95
北海道,13.55,12.02
青森,13.29,10.82
岩手,16.9,12.09
宮城,12.6,8.99
秋田,15.73,12.79
山形,11.67,9
福島,14.13,9.15
茨城,8.88,9.52
栃木,11.34,11.32
群馬,10.15,11.03
埼玉,10.9,5.55
千葉,11.21,6.29
東京,11.04,6.5
神奈川,8.78,8.21
新潟,9.5,8.75
富山,9.48,10.15
石川,12.98,8.23
福井,11.92,4.69
山梨,12.68,8.84
長野,7.79,7.73
岐阜,9.61,6.35
静岡,9.37,8.39
愛知,9.29,9.33
三重,8.34,6.19
滋賀,8.69,8.46
京都,8.86,7.34
大阪,10.41,8.57
兵庫,8.48,5.24
奈良,7.56,6.81
和歌山,12.26,7.91
鳥取,8.16,5.46
島根,7.84,7.14
岡山,11.4,9.52
広島,8.76,5.98
山口,12.29,4.12
徳島,13.24,8.37
香川,8.81,8.94
愛媛,11.38,6.98
高知,10.23,7.06
福岡,11.79,8.06
佐賀,7.76,6.67
長崎,11.63,5.47
熊本,14.31,5.73
大分,13.44,9.81
宮崎,10.93,9.99
鹿児島,12.49,9.93
沖縄,11.42,6.59
