都道府県,男:17歳:痩身傾向児出現率(%),女:17歳:痩身傾向児出現率(%)
全国,2.21,1.51
北海道,2.15,1.42
青森,2.81,1.17
岩手,1.35,0.95
宮城,3.08,1.96
秋田,0.57,2.38
山形,2.15,1.95
福島,2.68,1.41
茨城,2.57,1.46
栃木,1.2,1.13
群馬,1.02,2.15
埼玉,1.02,1.02
千葉,2.36,2.01
東京,2.24,1.47
神奈川,3.2,1.21
新潟,4.82,2.9
富山,3.69,1.31
石川,0.27,1.58
福井,0.67,1.01
山梨,3.03,1.83
長野,1.23,0.5
岐阜,2.12,0.91
静岡,1.57,0.99
愛知,3.61,2.31
三重,2.22,2.03
滋賀,1.25,1.81
京都,2.78,1.57
大阪,2.09,1.28
兵庫,2.32,1.58
奈良,2.39,1.47
和歌山,0.97,1.75
鳥取,1.46,1.47
島根,1.59,1.65
岡山,2.04,2.49
広島,0.95,2.19
山口,2.81,1.83
徳島,1.04,2.24
香川,0.81,0.7
愛媛,1.89,0.48
高知,2.43,1.59
福岡,2.62,1.28
佐賀,0.86,1.3
長崎,1.72,0.85
熊本,3.11,0.56
大分,1.84,1.57
宮崎,0.91,1.8
鹿児島,0.47,1.49
沖縄,3.94,1.16
