"No.","Title","Date(Year-Month)","Value","TimeStamp"
1,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00028.html"" target=""_blank""> University of  Michigan  Consumer  Sentiment  Index: Index Of Consumer Sentiment</a>","2017-07","93.4","2017-09-13 13:19:42"
2,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00021.html"" target=""_blank"">[輸入物価指数~円ベース]総平均(前年比)(%)</a>","2017-08","12.5","2017-09-13 13:15:53"
3,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00020.html"" target=""_blank"">[輸出物価指数~円ベース]総平均(前年比)(%)</a>","2017-08","8.6","2017-09-13 13:14:06"
4,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00019.html"" target=""_blank"">[国内企業物価指数]総平均(前年比)(%)</a>","2017-08","2.9","2017-09-13 13:11:50"
5,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00015.html"" target=""_blank"">名目季節調整系列:国内総生産(支出側,兆円,四半期)</a>","2017-06","542.7744","2017-09-08 11:53:47"
6,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00016.html"" target=""_blank"">実質季節調整系列:国内総生産(支出側,兆円,四半期)</a>","2017-06","529.2416","2017-09-08 11:53:47"
7,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00029.html"" target=""_blank"">季節調整済賃金指数　実質賃金指数　現金給与総額:5人以上:就業形態計:調査産業計</a>","2017-06","100.3","2017-09-06 09:35:49"
8,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00025.html"" target=""_blank"">S&P/Experian First Mortgage Default Index(%)</a>","2017-07","0.62","2017-09-04 16:48:16"
9,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00026.html"" target=""_blank"">S&P/Experian Second Mortgage Default Index(%)</a>","2017-07","0.5","2017-09-04 16:48:16"
10,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00022.html"" target=""_blank"">S&P/Experian Auto Default Index(%)</a>","2017-07","0.86","2017-09-04 16:48:15"
11,"<a href=""http://indicator.am-consulting.co.jp/am-consulting.co.jp-00023.html"" target=""_blank"">S&P/Experian Bankcard Default Index(%)</a>","2017-07","3.31","2017-09-04 16:48:15"
