map,japan,
title,価格動向 今回調査 8月1日から5日,需給動向 今回調査 8月1日から5日
unit,-,-
福井県,3.3,3.3
鳥取県,3,3.2
愛媛県,3,3.1
岩手県,3,3
京都府,3,3
大阪府,2.8,3
奈良県,3,3
徳島県,3,3
香川県,3,3
高知県,3,3
青森県,3,2.9
秋田県,3,2.9
埼玉県,3,2.9
千葉県,3,2.9
岐阜県,3,2.9
兵庫県,3,2.9
広島県,3.1,2.9
山口県,3,2.9
宮崎県,3,2.9
北海道,3,2.8
東京都,3,2.8
神奈川県,3,2.8
石川県,3,2.8
静岡県,3.2,2.8
三重県,3,2.8
島根県,3,2.8
岡山県,3,2.8
福岡県,3,2.8
宮城県,3,2.7
山形県,3,2.7
茨城県,3,2.7
群馬県,3.1,2.7
長野県,3,2.7
富山県,3,2.7
滋賀県,3,2.7
熊本県,3,2.7
大分県,3.1,2.7
鹿児島県,3,2.7
沖縄県,3,2.7
福島県,2.9,2.6
栃木県,3,2.6
山梨県,2.9,2.6
新潟県,3,2.6
愛知県,3,2.6
和歌山県,3,2.5
長崎県,3,2.4
佐賀県,3.1,2.1
