歳入,H28年度予算(当初),H29年度予算,構成比(%),増減(%),増減(億円)
税収,576040,577120,59.22,0.19,1080
その他収入,46858,53729,5.51,14.66,6871
公債金,344320,343698,35.27,-0.18,-622
うち4条公債(建設公債),60500,60970,6.26,0.78,470
うち特例公債(赤字公債),283820,282728,29.01,-0.38,-1092
歳入計,967218,974547,100,0.76,7329
,,,,,
歳出,H28年度予算(当初),H29年度予算,構成比(%),増減(%),増減(億円)
国債費,236121,235285,24.14,-0.35,-836
一般歳出,578286,583591,59.88,0.92,5305
社会保障関係費,319738,324735,33.32,1.56,4997
文教及び科学振興費,53580,53567,5.5,-0.02,-13
うち科学技術振興費,12930,13045,1.34,0.89,115
恩給関係費,3421,2947,0.3,-13.86,-474
防衛関係費,50541,51251,5.26,1.4,710
公共事業関係費,59737,59763,6.13,0.04,26
経済協力費,5161,5110,0.52,-0.99,-51
中小企業対策費,1825,1810,0.19,-0.82,-15
エネルギー対策費,9308,9635,0.99,3.51,327
食料安定供給関係費,10282,10174,1.04,-1.05,-108
その他の事項経費,61193,61098,6.27,-0.16,-95
予備費,3500,3500,0.36,0,0
地方交付税交付金等,152811,155671,15.97,1.87,2860
歳出計,967218,974547,100,0.76,7329
