MAP,JAPAN
TITLE,建設総合統計出来高ベ―ス-2015年度計
UNIT,兆円
東京都,6.1952
愛知県,2.9792
神奈川県,2.8061
北海道,2.6209
大阪府,2.6132
宮城県,2.4295
千葉県,2.2157
埼玉県,2.1923
福島県,1.7127
福岡県,1.7102
兵庫県,1.635
静岡県,1.3638
岩手県,1.3466
茨城県,1.2999
新潟県,1.0601
広島県,0.8698
京都府,0.8072
沖縄県,0.8042
群馬県,0.7825
三重県,0.7765
岐阜県,0.7513
長野県,0.7341
栃木県,0.7336
岡山県,0.635
鹿児島県,0.6301
青森県,0.6227
熊本県,0.5569
石川県,0.5507
富山県,0.5238
山口県,0.5189
長崎県,0.496
愛媛県,0.4844
和歌山県,0.4641
滋賀県,0.4638
福井県,0.4448
宮崎県,0.4391
山形県,0.4384
秋田県,0.4093
大分県,0.3952
香川県,0.3924
山梨県,0.3799
島根県,0.3736
佐賀県,0.3415
奈良県,0.3061
高知県,0.2904
徳島県,0.2652
鳥取県,0.222
