Date,Number of Child on Waiting List,URL,HEISEI,Note
1995/4/1,28481,http://www1.mhlw.go.jp/houdou/1212/h1214-1_18.html,H7,-
1996/4/1,32855,http://www1.mhlw.go.jp/houdou/1212/h1214-1_18.html,H8,-
1997/4/1,40523,http://www1.mhlw.go.jp/houdou/1212/h1214-1_18.html,H9,-
1998/4/1,39545,http://www1.mhlw.go.jp/houdou/1111/h1118-1_18.html,H10,-
1999/4/1,32225,http://www1.mhlw.go.jp/houdou/1111/h1118-1_18.html,H11,-
2000/4/1,32933,http://www1.mhlw.go.jp/houdou/1212/h1214-1_18.html,H12,-
2001/4/1,21201,http://www.mhlw.go.jp/houdou/2002/09/h0920-3.html,H13,"21031 , http://www.mhlw.go.jp/houdou/0112/h1227-4.html"
2002/4/1,25447,http://www.mhlw.go.jp/houdou/2002/09/h0920-3.html,H14,-
2003/4/1,26383,http://www.mhlw.go.jp/houdou/2003/08/h0819-3.html,H15,-
2004/4/1,24245,http://www.mhlw.go.jp/houdou/2009/09/h0907-2.html,H16,-
2005/4/1,23338,http://www.mhlw.go.jp/houdou/2009/09/h0907-2.html,H17,-
2006/4/1,19794,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000022681.pdf,H18,-
2007/4/1,17926,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000057778.pdf,H19,-
2008/4/1,19550,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603.pdf,H20,-
2009/4/1,25384,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H21,-
2010/4/1,26275,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H22,-
2011/4/1,25556,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H23,-
2012/4/1,24825,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H24,-
2013/4/1,22741,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H25,-
2014/4/1,21371,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H26,-
2015/4/1,23167,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H27,-
2016/4/1,23553,http://www.mhlw.go.jp/file/04-Houdouhappyou-11907000-Koyoukintoujidoukateikyoku-Hoikuka/0000098603_2.pdf,H28,-
