map,japan
title,都道府県別人口構成比(%、2010年国勢調査)
unit,%
東京都,10.28 
神奈川県,7.07 
大阪府,6.92 
愛知県,5.79 
埼玉県,5.62 
千葉県,4.85 
兵庫県,4.36 
北海道,4.30 
福岡県,3.96 
静岡県,2.94 
茨城県,2.32 
広島県,2.23 
京都府,2.06 
新潟県,1.85 
宮城県,1.83 
長野県,1.68 
岐阜県,1.63 
福島県,1.58 
栃木県,1.57 
群馬県,1.57 
岡山県,1.52 
三重県,1.45 
熊本県,1.42 
鹿児島県,1.33 
山口県,1.13 
愛媛県,1.12 
長崎県,1.11 
滋賀県,1.10 
奈良県,1.09 
沖縄県,1.09 
青森県,1.07 
岩手県,1.04 
大分県,0.93 
石川県,0.91 
山形県,0.91 
宮崎県,0.89 
富山県,0.85 
秋田県,0.85 
和歌山県,0.78 
香川県,0.78 
山梨県,0.67 
佐賀県,0.66 
福井県,0.63 
徳島県,0.61 
高知県,0.60 
島根県,0.56 
鳥取県,0.46 
