map,japan,,,,
title,0-19歳(千人),65歳以上(千人),総数(千人),構成比(%) 0-19歳,構成比(%) 65歳以上
unit,千人,千人,千人,%,%
沖縄県,329,241,1393,23.6 ,17.3 
滋賀県,284,289,1411,20.1 ,20.5 
佐賀県,168,207,850,19.8 ,24.4 
愛知県,1427,1492,7411,19.3 ,20.1 
宮崎県,215,291,1135,18.9 ,25.6 
岐阜県,392,500,2081,18.8 ,24.0 
福井県,151,200,806,18.7 ,24.8 
熊本県,340,463,1817,18.7 ,25.5 
鹿児島県,318,450,1706,18.6 ,26.4 
福島県,377,503,2029,18.6 ,24.8 
福岡県,941,1123,5072,18.6 ,22.1 
山梨県,160,210,863,18.5 ,24.3 
岡山県,360,485,1945,18.5 ,24.9 
長崎県,264,369,1427,18.5 ,25.9 
群馬県,371,470,2008,18.5 ,23.4 
石川県,216,275,1170,18.5 ,23.5 
兵庫県,1029,1282,5588,18.4 ,22.9 
三重県,341,447,1855,18.4 ,24.1 
長野県,395,570,2152,18.4 ,26.5 
茨城県,543,665,2970,18.3 ,22.4 
奈良県,256,334,1401,18.3 ,23.8 
広島県,522,677,2861,18.2 ,23.7 
宮城県,428,521,2348,18.2 ,22.2 
埼玉県,1310,1464,7195,18.2 ,20.3 
静岡県,681,892,3765,18.1 ,23.7 
栃木県,363,439,2008,18.1 ,21.9 
鳥取県,106,154,589,18.0 ,26.1 
大阪府,1582,1963,8865,17.8 ,22.1 
神奈川県,1609,1819,9048,17.8 ,20.1 
京都府,466,606,2636,17.7 ,23.0 
香川県,176,253,996,17.7 ,25.4 
岩手県,235,361,1330,17.7 ,27.1 
大分県,211,316,1197,17.6 ,26.4 
愛媛県,251,378,1431,17.5 ,26.4 
山形県,205,322,1169,17.5 ,27.5 
島根県,125,207,717,17.4 ,28.9 
千葉県,1083,1320,6216,17.4 ,21.2 
新潟県,413,622,2374,17.4 ,26.2 
富山県,190,285,1093,17.4 ,26.1 
和歌山県,174,271,1002,17.4 ,27.0 
青森県,238,353,1373,17.3 ,25.7 
山口県,250,405,1451,17.2 ,27.9 
高知県,128,218,764,16.8 ,28.5 
徳島県,131,211,785,16.7 ,26.9 
北海道,916,1359,5506,16.6 ,24.7 
秋田県,171,321,1086,15.7 ,29.6 
東京都,2024,2642,13159,15.4 ,20.1 
